nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
WPE Austèrity,9.6,6.1,6.3,Top,50,58.0,AD Carry,40.0,57.5,Jungler,33.0,51.5
Sebeks,4.7,3.7,6.8,Mid,131,62.6,Support,35.0,45.7,Top,3.0,100.0
bddst shp,4.5,4.1,11.3,Support,124,61.3,Mid,47.0,51.1,AD Carry,39.0,71.8
마음이 피곤하다,6.8,5.1,6.3,Jungler,339,51.6,Mid,33.0,63.6,Top,1.0,100.0
hellcat13,5.8,5.1,7.1,AD Carry,567,53.4,Support,54.0,38.9,Jungler,5.0,20.0
scamber,2.6,5.9,14.5,Support,255,53.7,Top,6.0,50.0,Mid,3.0,33.3
NNOne Piece,7.0,3.9,9.1,Jungler,184,60.3,Mid,13.0,38.5,Top,7.0,71.4
Mimage,5.6,4.4,9.5,Jungler,273,56.4,Support,21.0,33.3,Mid,8.0,75.0
B0NN1E,5.6,4.4,8.9,Jungler,372,57.5,AD Carry,18.0,22.2,Top,12.0,41.7
낭만닥터 이준민,5.1,4.3,6.5,AD Carry,359,54.6,Top,32.0,40.6,Support,17.0,64.7
pumpybIo,5.9,4.6,6.5,Mid,347,53.3,Support,72.0,56.9,Jungler,39.0,41.0
Test ADC 10,5.6,4.6,7.8,AD Carry,294,53.1,Support,26.0,50.0,Top,2.0,50.0
incarnate xo,7.3,4.6,7.1,AD Carry,381,59.3,Support,76.0,55.3,Mid,56.0,69.6
Chryssey,6.2,4.9,7.1,AD Carry,400,56.0,Support,36.0,44.4,Mid,4.0,50.0
깜바의 일상,6.6,4.9,6.5,AD Carry,220,55.5,Support,38.0,47.4,Jungler,18.0,66.7
LowKeySavagé,5.7,4.3,7.3,Mid,259,57.1,AD Carry,20.0,30.0,Top,2.0,100.0
kksh3,6.5,4.3,7.3,AD Carry,222,52.7,Support,24.0,62.5,Mid,15.0,53.3
Gilius2,5.7,4.2,7.7,Jungler,178,57.3,Top,27.0,44.4,Mid,11.0,54.5
2023 SOLDIER,6.9,4.7,6.3,AD Carry,237,55.3,Mid,9.0,33.3,Top,1.0,100.0
Ezrealíty,6.7,4.4,6.6,AD Carry,165,59.4,Mid,22.0,54.5,Top,2.0,50.0
Enthralled,7.1,5.8,7.4,AD Carry,226,58.8,Support,26.0,38.5,Top,10.0,40.0
Astrax00,5.1,5.7,10.3,Jungler,388,55.2,Support,169.0,49.7,AD Carry,76.0,48.7
ˆGweenoczyˆ,8.5,7.0,5.1,AD Carry,366,57.9,Jungler,69.0,46.4,Top,41.0,43.9
Benson,7.6,6.4,7.3,Jungler,153,53.6,Top,21.0,61.9,Support,3.0,100.0
Jan D Banan,2.3,4.9,13.6,Support,199,60.3,AD Carry,14.0,35.7,Mid,4.0,25.0
Dajar the Legend,7.4,6.2,7.1,Jungler,250,54.4,AD Carry,53.0,56.6,Mid,7.0,42.9
TBS1,7.1,5.9,6.3,AD Carry,383,52.5,Support,18.0,38.9,Mid,11.0,36.4
T1 Gumayusi,6.4,5.1,6.6,AD Carry,266,56.0,Top,15.0,60.0,Jungler,14.0,28.6
Thaybot,5.5,4.3,8.2,Jungler,324,54.9,Top,14.0,42.9,Mid,10.0,50.0
PHẤN ĐÀO,6.0,5.3,5.3,Top,335,55.5,AD Carry,64.0,40.6,Mid,45.0,57.8
Tkk,5.7,4.6,7.2,Mid,327,52.6,AD Carry,73.0,50.7,Top,5.0,60.0
gemí,3.6,4.3,6.6,Top,241,53.5,Mid,42.0,47.6,Support,10.0,50.0
Sufle,5.7,5.9,8.6,Jungler,237,58.2,AD Carry,38.0,31.6,Top,17.0,52.9
EIQ Jackies,7.1,5.3,6.4,Mid,238,56.7,AD Carry,41.0,48.8,Jungler,22.0,45.5
qwazss,4.0,3.7,4.8,Top,248,58.5,Mid,9.0,44.4,Support,7.0,57.1
WE Hope,8.1,6.0,6.4,AD Carry,232,54.7,Top,31.0,61.3,Mid,15.0,40.0
Xuchi,7.2,4.5,8.5,Mid,166,66.3,Jungler,62.0,69.4,Top,51.0,56.9
Pongji,7.0,4.2,6.1,AD Carry,166,60.8,Mid,14.0,50.0,Jungler,1.0,100.0
WolfPaws,5.6,3.8,7.7,Mid,162,64.8,Top,29.0,37.9,Support,12.0,33.3
Kuzy 1,4.9,4.9,5.3,Top,212,55.2,Support,7.0,28.6,Mid,6.0,66.7
russin molejo,6.0,5.7,6.6,Mid,179,54.2,AD Carry,33.0,57.6,Top,30.0,63.3
paiN Dehya,11.0,5.8,6.9,AD Carry,184,70.1,Mid,45.0,68.9,Top,7.0,85.7
ITEtoNUSimMalay,6.4,5.2,6.9,Top,95,60.0,Mid,27.0,51.9,Support,7.0,42.9
TTV zDevost,8.0,4.5,5.1,Top,198,56.6,Mid,15.0,60.0,AD Carry,5.0,100.0
Itsagoodshot,6.4,4.1,6.5,AD Carry,298,52.7,Mid,16.0,56.3,Jungler,12.0,66.7
KBM RAV3N,7.4,5.4,6.8,AD Carry,332,53.9,Mid,8.0,50.0,Top,4.0,25.0
Besha,7.1,4.3,8.7,Mid,116,61.2,Support,6.0,66.7,Top,5.0,40.0
헤이스트,4.9,4.6,8.0,Mid,384,56.0,Support,230.0,48.7,Top,19.0,42.1
dog kachu,6.8,4.7,6.0,Mid,164,51.2,AD Carry,57.0,66.7,Top,7.0,71.4
Немножко хорни,7.7,4.9,7.2,Mid,105,65.7,Jungler,60.0,68.3,Top,39.0,48.7
lalalalalalaaala,5.9,3.8,8.0,Jungler,141,66.7,Top,22.0,40.9,Mid,12.0,33.3
woxiangdasini,5.4,4.8,6.4,Mid,131,48.9,Top,130.0,57.7,Jungler,99.0,55.6
DARK WlNGS,5.2,4.3,6.6,Mid,161,60.2,AD Carry,23.0,56.5,Top,20.0,40.0
5word,3.0,5.6,12.9,Support,131,56.5,AD Carry,11.0,54.5,Jungler,8.0,50.0
Saulitofanboy,7.7,5.9,7.6,AD Carry,351,54.1,Mid,22.0,59.1,Top,10.0,70.0
õreo,6.1,4.3,5.7,Mid,137,59.9,Jungler,10.0,40.0,AD Carry,8.0,37.5
wutian,8.0,5.3,8.5,Jungler,157,61.1,Mid,11.0,54.5,AD Carry,3.0,66.7
TL Honda CoreJJ,3.0,5.7,11.8,Support,206,58.7,AD Carry,15.0,26.7,Mid,11.0,27.3
shay emmmm,2.8,5.2,10.7,Support,209,54.1,Top,53.0,64.2,Mid,19.0,52.6
FLYQ IMPACT,5.2,4.8,5.8,Top,129,55.8,Jungler,23.0,65.2,Support,2.0,0.0
타 잔,6.3,4.9,9.0,Jungler,153,62.1,Support,35.0,57.1,AD Carry,18.0,38.9
Nomi,7.2,4.8,7.7,AD Carry,136,63.2,Top,12.0,58.3,Mid,12.0,58.3
Song Ha Young,7.2,4.6,7.0,AD Carry,120,53.3,Top,115.0,58.3,Mid,64.0,60.9
balve,6.1,5.5,6.6,Top,341,56.0,Support,20.0,40.0,Mid,15.0,33.3
sopjsafjp,6.0,4.4,6.0,Mid,177,60.5,AD Carry,40.0,45.0,Top,4.0,75.0
中国,7.1,5.6,7.0,AD Carry,108,56.5,Jungler,17.0,58.8,Support,11.0,54.5
Boom2G,7.7,4.5,7.0,Jungler,79,58.2,Mid,63.0,57.1,Top,7.0,42.9
GZeus,8.3,5.8,9.0,Jungler,278,54.0,Mid,22.0,45.5,Top,7.0,57.1
Koi Princess,7.7,4.7,10.5,Jungler,145,69.7,AD Carry,42.0,71.4,Top,4.0,50.0
FA Kingdom,6.2,4.5,6.4,AD Carry,588,52.9,Top,50.0,44.0,Support,33.0,51.5
Yöung Pablö,6.6,3.9,5.0,Top,117,65.8,Jungler,12.0,66.7,Mid,5.0,80.0
Karasmai v9,5.6,3.9,6.8,Jungler,308,53.9,Mid,12.0,33.3,AD Carry,2.0,50.0
dont bee sad,6.9,6.6,6.6,Mid,192,54.7,AD Carry,60.0,50.0,Support,32.0,68.8
OneZang,4.7,4.5,7.0,AD Carry,276,50.4,Support,183.0,58.5,Top,14.0,35.7
NSK BlastSoul,7.2,4.0,6.9,AD Carry,153,62.7,Mid,7.0,28.6,Top,1.0,0.0
kidbuuprovip,7.0,6.4,7.8,Jungler,92,64.1,AD Carry,86.0,55.8,Top,65.0,53.8
토트 무지카,5.1,5.6,6.5,Mid,336,51.8,Top,55.0,58.2,Support,16.0,68.8
Rabble Arouser,7.7,4.5,7.9,Jungler,127,59.1,Mid,9.0,33.3,Top,8.0,50.0
Wsavh,7.8,5.0,7.2,Jungler,260,53.1,Mid,24.0,62.5,Top,12.0,16.7
Cloud Jr,5.0,4.5,8.3,AD Carry,137,54.0,Support,47.0,61.7,Mid,6.0,16.7
HamBak,6.6,4.3,7.9,Jungler,261,54.8,AD Carry,18.0,55.6,Top,13.0,38.5
FX Jojinho,3.1,3.9,15.3,Support,140,62.1,Mid,5.0,40.0,Top,1.0,100.0
LFT ƒëär,7.9,6.1,6.7,Mid,124,50.0,Jungler,77.0,57.1,AD Carry,11.0,72.7
Horrific,5.6,3.3,7.6,AD Carry,174,57.5,Mid,93.0,58.1,Top,33.0,57.6
Medjed,7.3,4.9,3.9,Top,296,56.1,Mid,31.0,48.4,AD Carry,21.0,33.3
bagus,7.3,5.6,6.4,Top,91,49.5,Mid,90.0,63.3,AD Carry,14.0,64.3
Groinze,8.7,3.9,7.9,Jungler,82,72.0,AD Carry,6.0,50.0,Top,1.0,100.0
DuDu111,2.6,5.8,12.9,Support,223,57.0,Mid,4.0,25.0,AD Carry,1.0,0.0
陪daiVX Ekko4567,7.5,4.6,6.6,Jungler,206,57.8,AD Carry,27.0,44.4,Mid,7.0,42.9
咩啊咩啊,6.8,4.7,8.0,Jungler,178,56.7,Top,34.0,44.1,Support,6.0,83.3
CySa Zuricatin,6.5,4.9,8.0,AD Carry,447,52.6,Support,112.0,48.2,Jungler,44.0,31.8
스눈이,5.1,4.2,8.1,Mid,140,57.1,Support,51.0,64.7,AD Carry,7.0,42.9
Suzuran,6.7,4.3,6.4,Top,170,60.0,Jungler,31.0,58.1,AD Carry,3.0,0.0
상록중,4.9,4.6,5.9,Top,122,66.4,Jungler,5.0,60.0,Mid,1.0,0.0
USC Inferno,5.0,4.2,8.2,AD Carry,156,55.8,Support,34.0,55.9,Top,4.0,50.0
100 Kirei,6.6,4.8,8.6,Jungler,194,59.8,Mid,5.0,20.0,Top,2.0,50.0
xAnubisDarkx,5.5,4.7,5.5,Top,181,55.2,Mid,15.0,46.7,AD Carry,8.0,25.0
JinHun,7.5,5.5,8.1,Mid,147,59.9,Jungler,26.0,42.3,AD Carry,26.0,73.1
Stumpybuumer,6.2,4.8,5.9,Top,78,59.0,Jungler,36.0,55.6,AD Carry,4.0,75.0
TianXinSup01,1.4,5.0,13.3,Support,161,64.0,0.0,0.0,0.0,0.0,0.0,0.0
mihay,9.2,6.7,7.0,AD Carry,104,69.2,Mid,8.0,50.0,Top,4.0,100.0
Paradizzo,6.6,5.6,10.2,Jungler,123,57.7,Support,23.0,60.9,Mid,1.0,100.0
Sybol,6.8,6.6,8.5,Jungler,91,53.8,AD Carry,73.0,56.2,Support,2.0,50.0
태리곰곰,6.6,5.3,6.5,AD Carry,346,56.1,Mid,46.0,50.0,Top,39.0,41.0
CalcetinSucioTV,5.8,5.6,6.4,Top,68,63.2,Mid,13.0,53.8,AD Carry,6.0,33.3
San Valentin,8.7,8.0,8.1,AD Carry,135,62.2,Mid,6.0,66.7,Top,1.0,0.0
騰訊z沒錢玩你麻b,7.9,4.7,6.6,Mid,133,56.4,Jungler,33.0,51.5,Top,11.0,72.7
kocourek kolofou,6.8,7.3,8.5,Top,91,53.8,Jungler,85.0,56.5,Mid,74.0,58.1
Chaeyeoni stan,7.0,6.0,7.3,Jungler,377,54.6,Top,121.0,52.9,Mid,38.0,50.0
10568,7.1,4.5,5.8,AD Carry,171,56.1,Mid,29.0,41.4,Jungler,3.0,100.0
Malditaseaa,6.6,4.5,6.5,AD Carry,354,53.4,Support,22.0,36.4,Mid,11.0,45.5
MRG Smiley,5.4,5.8,9.7,Jungler,192,55.7,Support,138.0,47.1,AD Carry,4.0,25.0
juank111,4.9,6.6,10.1,AD Carry,123,51.2,Support,107.0,58.9,Jungler,92.0,48.9
vxRio887288,4.8,5.1,3.9,Top,190,56.3,Mid,12.0,25.0,AD Carry,8.0,37.5
Pingüino Mimoso,4.4,4.3,9.5,Mid,85,58.8,Support,40.0,60.0,AD Carry,2.0,50.0
Hououín Kyouma,6.0,6.6,7.4,Support,147,58.5,Mid,118.0,47.5,AD Carry,97.0,56.7
拿手絕活,5.6,5.2,10.1,Mid,225,57.3,AD Carry,17.0,52.9,Support,7.0,57.1
CLYDË,7.4,6.6,6.5,AD Carry,73,63.0,Mid,33.0,54.5,Top,14.0,42.9
SHOP MRBEAST,2.6,5.3,12.5,Support,186,54.8,Mid,14.0,50.0,Top,2.0,50.0
soul agony,9.3,5.0,6.6,Mid,123,64.2,AD Carry,57.0,54.4,Jungler,47.0,66.0
NNForsaken,9.0,5.3,6.3,AD Carry,217,61.8,Jungler,15.0,40.0,Mid,11.0,27.3
Kibishi,4.6,3.5,10.6,Mid,248,57.3,Support,108.0,50.0,Top,6.0,33.3
Flux,4.5,4.7,11.0,Support,78,62.8,Mid,16.0,43.8,AD Carry,15.0,46.7
SchuJerer Gustav,5.2,5.3,10.4,Jungler,218,59.2,Support,113.0,49.6,Top,6.0,33.3
v1nboiz12345,7.0,4.6,6.4,AD Carry,147,60.5,Mid,19.0,52.6,Jungler,8.0,37.5
Boots of Speed,5.1,4.0,7.2,Mid,165,55.8,AD Carry,67.0,59.7,Top,39.0,48.7
h1a2d3e4s5,8.0,5.6,6.2,AD Carry,150,67.3,Mid,42.0,47.6,Top,22.0,40.9
Αshura,3.0,4.6,13.8,Support,144,62.5,Mid,50.0,60.0,AD Carry,4.0,75.0
TTV Billyjimi,4.8,4.3,9.4,Support,228,52.2,AD Carry,12.0,25.0,Mid,11.0,45.5
anibalon3,5.4,5.7,6.3,Top,152,53.9,Jungler,31.0,45.2,Mid,26.0,53.8
TOP GRAND CANYÔN,5.5,5.1,4.5,Top,275,52.4,AD Carry,20.0,45.0,Mid,6.0,50.0
Ghost7,4.2,4.5,7.8,Top,213,55.4,Mid,19.0,47.4,Support,6.0,33.3
stfu and play,10.3,6.8,6.5,Mid,241,64.3,Top,159.0,54.1,Support,23.0,34.8
DK 에이스,4.8,4.3,5.8,Mid,288,53.8,Top,69.0,62.3,Support,15.0,53.3
Lassaña,5.8,3.8,8.5,Mid,80,62.5,Support,23.0,65.2,AD Carry,1.0,100.0
Unique,7.0,6.6,8.1,AD Carry,138,59.4,Support,31.0,61.3,Mid,4.0,25.0
U Never Loved Me,5.7,4.1,7.4,Jungler,119,59.7,Top,23.0,52.2,Support,5.0,20.0
반오십의 희망,6.6,4.9,7.9,Jungler,321,53.6,AD Carry,52.0,46.2,Mid,4.0,75.0
Yurabb,6.8,2.7,8.5,Jungler,92,67.4,Mid,3.0,66.7,Support,1.0,0.0
KazeNoyouni,6.9,3.7,7.6,Jungler,71,63.4,Top,36.0,58.3,Mid,10.0,80.0
Nicee搜迎神培玩,8.1,2.4,7.8,Jungler,70,82.9,Top,12.0,75.0,Support,2.0,50.0
관 계,4.9,4.6,10.0,Jungler,224,56.3,Support,104.0,55.8,AD Carry,12.0,66.7
Mâgico,6.1,5.7,7.8,Mid,267,53.6,AD Carry,96.0,52.1,Support,42.0,47.6
toilaconga123,6.3,4.9,9.3,Jungler,162,47.5,Support,104.0,63.5,AD Carry,37.0,54.1
lckeria,7.3,4.3,7.4,AD Carry,129,58.1,Jungler,39.0,69.2,Mid,22.0,59.1
pulga asesina,5.7,4.3,8.1,Mid,136,55.9,Support,47.0,51.1,AD Carry,1.0,0.0
台服蠻王教科書1,5.9,5.2,5.9,Top,188,59.0,Support,50.0,46.0,AD Carry,8.0,50.0
MorninStar,5.1,4.8,9.8,Jungler,164,53.7,Mid,22.0,54.5,Support,15.0,66.7
Dariusz z TVNu,4.9,3.9,9.2,Mid,143,54.5,Support,21.0,61.9,Top,4.0,100.0
Senkı,9.0,7.6,4.5,Top,168,57.7,Mid,51.0,54.9,Jungler,14.0,28.6
TheNumberIs7,5.9,5.6,7.9,Top,75,64.0,AD Carry,60.0,45.0,Mid,17.0,41.2
October 23,5.5,4.8,7.1,AD Carry,195,54.9,Support,16.0,56.3,Mid,4.0,50.0
Mirallema,5.5,4.7,7.3,Top,151,55.6,Jungler,6.0,50.0,Mid,6.0,100.0
Flexx,7.3,5.3,7.3,AD Carry,124,58.9,Support,15.0,53.3,Mid,8.0,75.0
Chela Enjoyer,6.7,2.9,6.7,Mid,63,68.3,Top,41.0,56.1,Jungler,12.0,41.7
Kem Bông,6.2,3.9,8.1,Top,66,65.2,Jungler,51.0,54.9,Support,12.0,83.3
Piwo,7.0,5.5,9.3,Jungler,126,51.6,Support,17.0,41.2,Top,15.0,86.7
Alluka,8.0,5.0,7.2,AD Carry,101,58.4,Top,15.0,53.3,Jungler,10.0,60.0
ßadger,7.8,2.6,5.8,Mid,76,68.4,Support,5.0,60.0,Top,2.0,100.0
MTDFan,7.1,6.0,4.7,Top,83,61.4,Mid,3.0,66.7,Jungler,1.0,100.0
jungle bozo xd,5.0,5.6,9.2,Jungler,116,56.0,Top,2.0,50.0,Mid,1.0,0.0
Hero arc,2.8,4.8,11.5,Support,266,52.3,Mid,11.0,72.7,Top,1.0,100.0
Zac Houdek,6.3,5.9,7.9,Jungler,309,54.7,Mid,13.0,61.5,Top,11.0,54.5
Nadare x TA,6.9,3.9,6.8,Mid,85,72.9,Top,20.0,40.0,Support,7.0,28.6
EXPERT VELKOZ,5.6,4.5,9.1,Support,49,71.4,Mid,47.0,61.7,Top,26.0,73.1
baozaopiqi,6.7,6.1,6.0,AD Carry,357,53.8,Mid,28.0,32.1,Jungler,18.0,38.9
EIated,5.0,4.6,6.1,Top,293,53.6,Support,12.0,58.3,AD Carry,7.0,28.6
Scrappy,7.1,5.2,6.5,Jungler,326,46.3,Top,92.0,57.6,Mid,70.0,64.3
kevinnguyensocal,2.4,4.7,11.6,Support,245,53.5,Mid,11.0,63.6,AD Carry,11.0,72.7
TAMAK0,6.0,5.5,5.7,Top,165,58.2,Mid,27.0,59.3,Jungler,6.0,66.7
enpad,4.0,5.7,13.1,Support,91,57.1,AD Carry,26.0,69.2,Mid,8.0,62.5
Talentoso,2.9,4.6,12.3,Support,229,55.0,AD Carry,42.0,38.1,Jungler,5.0,40.0
IXIecutioner V2,7.0,5.1,6.8,Mid,205,60.0,Top,76.0,56.6,Support,19.0,36.8
1SkaylamM,6.2,4.8,6.9,AD Carry,208,49.0,Support,28.0,71.4,Jungler,5.0,80.0
T e a m o 1,6.0,3.9,5.8,Mid,115,56.5,Top,66.0,50.0,Support,21.0,52.4
Corvo Attano,8.2,4.0,7.5,AD Carry,85,67.1,Mid,3.0,66.7,Top,2.0,0.0
q723CX6lqxloq99,8.5,4.9,6.5,Mid,82,64.6,Jungler,49.0,57.1,AD Carry,26.0,61.5
Die4U,6.0,5.1,9.0,Jungler,150,58.0,Support,38.0,55.3,Mid,23.0,52.2
Bae Suzy,5.6,4.4,5.8,Mid,155,54.8,Top,14.0,71.4,Support,5.0,60.0
Chaménos,8.8,5.0,9.6,Jungler,120,60.0,Mid,5.0,20.0,AD Carry,4.0,50.0
EQon,4.9,4.3,6.2,Mid,240,54.6,AD Carry,29.0,58.6,Support,4.0,50.0
Ivern Peronista,3.8,6.8,8.9,Top,102,52.0,Support,58.0,60.3,Jungler,12.0,75.0
終究還是錯付心,8.3,4.6,5.9,Mid,91,56.0,AD Carry,13.0,53.8,Support,7.0,42.9
Diass,5.5,4.2,4.9,Top,171,56.1,AD Carry,31.0,35.5,Jungler,1.0,100.0
恩於南歌0o,6.0,4.7,7.7,Jungler,151,60.3,Mid,10.0,40.0,Support,10.0,40.0
Chebi,5.9,5.6,9.7,Support,55,49.1,AD Carry,51.0,49.0,Jungler,43.0,69.8
TTV KoKooPuffs,4.4,4.3,6.4,Top,160,53.8,Mid,12.0,33.3,Support,4.0,75.0
VladSuo,5.0,5.9,4.4,Top,70,62.9,Mid,4.0,75.0,AD Carry,2.0,50.0
Microvolts TCL,6.3,4.7,8.3,Jungler,74,66.2,Mid,25.0,72.0,AD Carry,9.0,33.3
Perfect XVII,7.1,6.8,7.2,AD Carry,176,49.4,Jungler,128.0,55.5,Mid,53.0,50.9
poison,7.1,6.9,8.6,AD Carry,238,50.8,Support,102.0,52.9,Jungler,58.0,50.0
Peter Zezima,6.1,5.0,6.5,AD Carry,145,55.9,Support,11.0,54.5,Mid,10.0,40.0
Oliver átom,6.9,4.8,9.2,Mid,149,68.5,Jungler,36.0,63.9,Top,5.0,60.0
em bé,2.2,4.1,13.9,Support,121,56.2,AD Carry,3.0,0.0,Top,1.0,100.0
Punggol Peter,6.9,5.7,8.9,Jungler,152,52.0,Support,38.0,57.9,Top,3.0,66.7
Hindered Raven,5.8,4.0,6.6,Mid,100,58.0,AD Carry,28.0,57.1,Top,3.0,66.7
banana pancakes,5.6,5.7,7.6,Mid,140,57.1,Top,23.0,39.1,AD Carry,23.0,43.5
Chott,7.7,5.6,8.3,AD Carry,98,57.1,Support,13.0,61.5,Mid,12.0,33.3
SHABU USER 420,7.5,5.3,7.5,AD Carry,172,57.6,Top,24.0,58.3,Jungler,8.0,87.5
Смерть,7.5,6.3,6.4,AD Carry,143,60.1,Mid,24.0,66.7,Top,10.0,50.0
mâHSEN,7.6,4.9,8.5,Jungler,102,52.9,Mid,57.0,57.9,AD Carry,24.0,79.2
Aruø,3.7,2.9,5.3,Top,94,59.6,Mid,26.0,57.7,Support,6.0,50.0
HiKaRi Yone36,6.6,4.4,5.2,Top,210,59.5,Mid,17.0,64.7,AD Carry,10.0,60.0
Eddxylol,6.0,5.5,7.5,Top,175,53.7,Jungler,47.0,46.8,Support,5.0,60.0
我叫Geoffrey,7.4,4.8,7.6,AD Carry,169,57.4,Mid,5.0,40.0,Top,1.0,100.0
Ri Co Le Mo,7.5,5.9,7.8,Mid,172,57.0,Jungler,61.0,45.9,Top,11.0,63.6
Yuxiayizhengwan,7.8,5.0,6.5,Jungler,269,52.8,Mid,42.0,52.4,AD Carry,6.0,83.3
Rose DK,7.1,6.7,6.4,AD Carry,136,55.1,Mid,25.0,56.0,Top,3.0,0.0
Medevv,6.3,5.9,7.8,Mid,71,46.5,AD Carry,41.0,53.7,Jungler,36.0,66.7
Maasta,7.2,4.5,6.9,Jungler,243,51.0,Top,76.0,52.6,Mid,20.0,65.0
Augensternn,6.8,4.4,6.9,AD Carry,210,57.1,Mid,18.0,50.0,Support,18.0,55.6
Feral Child,3.1,5.6,13.5,Support,89,57.3,Jungler,11.0,54.5,AD Carry,5.0,60.0
AMG,2.5,4.1,13.6,Support,123,61.0,AD Carry,24.0,45.8,Jungler,2.0,0.0
그만 날 놔줘,6.9,4.4,7.6,Jungler,209,60.3,Support,12.0,25.0,Top,8.0,50.0
寒塘冷月,5.8,4.5,8.8,Jungler,221,57.9,Mid,17.0,52.9,AD Carry,15.0,40.0
El Chicø Sigma,6.9,4.0,5.3,Top,77,61.0,Jungler,7.0,57.1,AD Carry,3.0,66.7
Enemies,3.6,3.8,11.3,Jungler,192,56.3,Mid,14.0,71.4,Top,4.0,50.0
ESPORCU TRİBİ,7.0,6.5,5.8,Mid,379,57.3,Top,108.0,56.5,AD Carry,19.0,89.5
AEZAKMI 1337,6.2,4.1,8.4,AD Carry,169,53.3,Support,75.0,56.0,Mid,3.0,0.0
yoo,8.1,4.4,6.4,AD Carry,231,57.6,Top,10.0,30.0,Mid,8.0,75.0
Zorian,4.9,3.6,9.4,Jungler,146,59.6,Support,10.0,40.0,Mid,7.0,28.6
Sinkingendlessly,6.8,4.5,6.7,AD Carry,168,64.9,Support,18.0,66.7,Top,9.0,66.7
똥 방귀 뿡뿡,6.6,4.6,8.6,Jungler,248,55.6,Support,42.0,50.0,AD Carry,28.0,39.3
lanedom is back,7.5,4.6,7.0,Top,112,66.1,Mid,10.0,30.0,AD Carry,7.0,100.0
Blïtzø,6.1,4.8,8.9,Jungler,136,56.6,AD Carry,26.0,46.2,Mid,23.0,60.9
dọn nhà đi em,7.2,5.7,6.5,Top,202,54.5,Mid,116.0,59.5,Jungler,77.0,55.8
Addicted,7.3,6.6,6.1,Mid,111,59.5,Top,80.0,48.8,AD Carry,41.0,51.2
T1 Sorrowful,5.4,4.9,6.4,Mid,183,59.6,AD Carry,20.0,40.0,Support,16.0,50.0
Soorieeketoon,8.1,4.2,5.9,Mid,142,60.6,AD Carry,32.0,53.1,Top,3.0,66.7
Epilogue for you,6.0,4.7,7.4,Jungler,852,51.3,Mid,120.0,50.0,Top,16.0,50.0
Σnzo,6.6,5.2,6.4,Mid,85,54.1,AD Carry,33.0,66.7,Top,10.0,70.0
縱橫亂世的果凍,6.1,4.7,9.7,Jungler,73,58.9,Top,19.0,68.4,Mid,9.0,55.6
ELAK1,8.4,4.4,5.3,Mid,147,56.5,Jungler,29.0,55.2,Top,26.0,50.0
ad hominem,8.0,4.9,8.8,Jungler,65,66.2,AD Carry,28.0,60.7,Mid,12.0,50.0
ZeusGalaVital,6.1,6.9,6.1,Top,300,52.3,Mid,149.0,49.0,AD Carry,79.0,60.8
ShowFakér,6.4,5.5,6.5,Mid,185,55.1,Top,38.0,57.9,Jungler,32.0,65.6
시드마이어의문명,6.0,4.6,8.8,Jungler,187,59.9,Support,38.0,50.0,AD Carry,3.0,33.3
邱記楊貴妃,5.7,3.6,6.6,Mid,213,60.1,AD Carry,29.0,27.6,Support,21.0,57.1
Sang Vlogs,7.4,6.1,6.9,Mid,150,56.7,AD Carry,38.0,65.8,Jungler,15.0,33.3
Inƒernum,8.2,6.7,9.7,AD Carry,184,55.4,Mid,14.0,50.0,Support,12.0,25.0
百無聊賴小鯨魚,6.6,6.1,5.2,Top,238,58.4,Jungler,16.0,37.5,AD Carry,14.0,71.4
CaryKung,2.9,4.6,12.7,Support,204,59.8,AD Carry,15.0,40.0,Top,9.0,44.4
Louvi,5.9,5.6,11.2,Support,156,61.5,Mid,48.0,56.3,AD Carry,8.0,62.5
PROBIS ADDICT,6.5,4.4,6.2,Mid,186,56.5,Top,104.0,52.9,Jungler,11.0,45.5
Fear,10.3,4.0,6.6,Jungler,97,62.9,Mid,10.0,40.0,Support,6.0,50.0
UANL AbdielDark,7.5,5.4,7.9,Mid,158,63.9,AD Carry,75.0,61.3,Top,19.0,52.6
Andy,7.4,4.7,6.4,Mid,93,58.1,Top,82.0,52.4,Jungler,51.0,70.6
LukášKril Studio,7.4,5.3,5.0,AD Carry,275,54.9,Mid,31.0,51.6,Top,3.0,66.7
SEN Viangrele,6.5,5.3,7.3,Mid,154,57.1,Jungler,37.0,59.5,Top,13.0,46.2
quicksand,9.0,5.5,6.3,AD Carry,116,60.3,Jungler,34.0,55.9,Mid,15.0,53.3
Decøy,4.8,5.0,6.0,Top,406,52.5,Mid,26.0,50.0,AD Carry,11.0,27.3
ZouSenpai,3.5,3.6,7.8,Top,167,62.3,Mid,26.0,38.5,AD Carry,19.0,42.1
softpaws,9.2,5.6,6.9,AD Carry,127,59.1,Top,87.0,59.8,Support,63.0,73.0
Lucy rosette,6.3,5.8,8.1,Mid,69,59.4,Top,37.0,56.8,Jungler,35.0,68.6
Envy Me diff,6.3,5.3,7.5,Mid,83,61.4,AD Carry,73.0,54.8,Top,27.0,37.0
geveze,6.4,4.2,6.3,AD Carry,260,52.3,Mid,10.0,50.0,Support,3.0,66.7
youuu,1.9,4.6,11.9,Support,415,54.0,Mid,7.0,28.6,Top,6.0,33.3
