nombre_invocador,region,liga,lps,cola,ranking_mundial,ranking_porcentaje,wins,loses,n_games,winrate_total,liga_label,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,games_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,games_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,games_champ_3,winrate_champ_3,champ_4,regional_rank_4,kills_champ_4,deaths_champ_4,assists_champ_4,games_champ_4,winrate_champ_4,champ_5,regional_rank_5,kills_champ_5,deaths_champ_5,assists_champ_5,games_champ_5,winrate_champ_5,champ_6,regional_rank_6,kills_champ_6,deaths_champ_6,assists_champ_6,games_champ_6,winrate_champ_6,champ_7,regional_rank_7,kills_champ_7,deaths_champ_7,assists_champ_7,games_champ_7,winrate_champ_7,champ_8,regional_rank_8,kills_champ_8,deaths_champ_8,assists_champ_8,games_champ_8,winrate_champ_8,nivel
Hide on bush,KR,GrandMaster,542,Soloqueue,4736,0.049,149,135,284,52.5,1,5.4,4.2,6.4,Mid,246,54.1,Jungler,25.0,44.0,Top,8.0,37.5,Annie,514,5.0,2.8,6.7,28,67.9,Aurelion Sol,245,6.9,3.4,6.6,27,55.6,Yone,850,5.1,4.5,5.4,16,62.5,Sylas,1640,4.4,3.8,5.4,16,50.0,Akali,19442,7.9,3.9,4.3,15,60.0,Ryze,1667,4.9,3.2,6.4,15,53.3,Tristana,5271,5.9,6.7,4.5,13,30.8,Jayce,18688,5.8,6.3,6.6,12,25.0,profesional
Jinno Kingdom,EUW,Challenger,801,Soloqueue,1183,0.012,295,273,568,51.9,2,6.6,4.9,7.5,AD Carry,447,53.7,Jungler,59.0,45.8,Support,37.0,51.4,Varus,299,7.8,4.6,8.0,79,53.2,Zeri,72,6.8,3.4,6.1,64,64.1,Caitlyn,18,6.9,4.8,5.8,51,56.9,Ezreal,97,7.3,5.6,6.6,36,52.8,Sivir,678,6.3,4.4,8.8,32,62.5,Draven,106,7.6,5.4,5.6,29,48.3,Maokai,1391,3.6,4.3,10.4,25,56.0,Xayah,1137,6.9,5.5,5.7,24,37.5,profesional
Satoru Gojo03,EUW,Challenger,984,Soloqueue,535,0.0056,77,47,124,62.1,2,7.2,5.2,7.2,AD Carry,120,61.7,Mid,3.0,100.0,Jungler,1.0,0.0,Zeri,122,7.3,4.6,5.9,23,60.9,Draven,880,8.0,5.9,7.7,21,57.1,Varus,1558,6.8,5.8,8.2,17,58.8,Aphelios,1905,6.0,5.4,7.4,17,52.9,Caitlyn,666,5.8,4.5,7.7,13,61.5,Lucian,4463,9.5,6.4,7.7,11,81.8,Xayah,210,8.4,2.8,6.4,9,88.9,Sivir,0,6.3,9.0,11.3,3,66.7,profesional
pleroma chronou,EUW,GrandMaster,616,Soloqueue,3944,0.041,123,107,230,53.5,1,7.1,5.2,6.5,Mid,189,57.7,AD Carry,14.0,28.6,Jungler,13.0,46.2,Aurelion Sol,839,7.5,6.7,7.9,24,54.2,Tristana,1216,8.8,5.0,4.9,22,63.6,Akali,756,9.8,4.0,5.4,17,64.7,Sylas,831,7.5,4.8,4.9,15,53.3,Ryze,3807,7.7,3.8,5.8,12,75.0,Lee Sin,1546,8.4,5.6,4.5,12,66.7,Syndra,0,6.4,5.2,8.8,9,55.6,Gragas,0,2.3,5.9,8.0,7,42.9,profesional
Kongenvenderhjem,EUW,Challenger,1203,Soloqueue,156,0.0016,114,73,211,59.7,2,7.1,5.9,5.7,Top,189,60.8,Jungler,7.0,42.9,Mid,7.0,57.1,Jayce,36,6.8,6.1,5.6,38,73.7,Gangplank,10569,7.0,5.7,6.3,28,71.4,Fiora,53,5.0,5.6,4.9,14,50.0,Vladimir,305,4.3,5.0,5.4,11,54.5,Gnar,2672,8.1,4.2,5.3,10,70.0,Quinn,2429,8.8,7.1,6.0,10,60.0,Jax,485,4.2,5.9,4.3,9,33.3,Lee Sin,540,9.3,6.1,4.3,8,62.5,profesional
FNC Hylissang,EUW,Challenger,1055,Soloqueue,358,0.0037,214,179,393,54.5,2,2.2,5.7,12.7,Support,353,55.5,Mid,20.0,40.0,Top,18.0,50.0,Annie,81,2.4,6.2,14.7,62,59.7,Rakan,42,1.6,4.7,15.5,54,59.3,Rell,62,1.6,5.5,15.0,35,71.4,Heimerdinger,37,2.8,6.1,10.5,31,54.8,Ashe,245,2.8,7.1,12.6,28,46.4,Thresh,4112,1.4,4.8,12.0,28,50.0,Orianna,1742,2.7,5.1,7.2,21,38.1,Pyke,1040,4.8,5.7,9.9,18,55.6,profesional
elyoyaaaaaaaaaaa,EUW,GrandMaster,806,Soloqueue,2815,0.029,177,155,333,53.5,1,7.2,4.4,7.7,Jungler,260,56.2,Mid,41.0,41.5,Top,18.0,44.4,Nidalee,305,8.7,5.1,7.9,35,42.9,Elise,304,8.3,3.0,6.7,31,67.7,Vi,332,5.4,4.1,9.2,25,52.0,Lee Sin,1244,8.6,4.0,9.6,22,59.1,Wukong,956,7.8,3.7,8.6,22,54.5,Maokai,2472,4.4,3.7,10.2,19,63.2,Graves,1156,8.6,3.8,5.8,19,52.6,Gragas,860,7.8,3.7,6.9,17,64.7,profesional
Wesley Warren Jr,EUW,Challenger,1033,Soloqueue,393,0.0041,227,189,416,54.6,2,6.2,4.9,6.1,Mid,356,55.3,AD Carry,37.0,62.2,Top,13.0,15.4,Aurelion Sol,93,7.0,4.3,6.6,71,64.8,Syndra,3,6.3,5.3,5.2,57,49.1,Zoe,156,6.7,4.6,5.7,47,55.3,Akali,38,6.4,4.7,4.5,39,48.7,Sylas,265,5.4,5.5,6.5,36,58.3,Ezreal,513,5.4,5.2,6.2,27,51.9,Jayce,1644,5.6,6.1,5.3,19,47.4,Viktor,1906,6.2,5.1,5.4,18,50.0,profesional
Razørk Activoo,EUW,Challenger,1036,Soloqueue,387,0.004,159,139,298,53.4,2,6.5,4.8,8.5,Jungler,231,54.5,Mid,35.0,42.9,Top,16.0,50.0,Kindred,91,8.4,4.6,7.8,56,62.5,Vi,12,6.8,5.1,9.4,37,51.4,Sylas,333,6.6,4.9,7.7,28,60.7,Karthus,1036,9.2,6.1,9.2,25,52.0,Viego,448,7.7,6.0,8.0,20,45.0,Gragas,2320,6.7,3.3,8.4,19,68.4,Ziggs,544,4.4,4.8,4.8,16,31.3,Ahri,1821,4.8,3.9,6.8,13,46.2,profesional
칸 나,KR,GrandMaster,608,Soloqueue,4044,0.042,115,92,207,55.6,1,5.6,4.7,4.9,Top,189,57.1,Jungler,16.0,37.5,Support,2.0,50.0,Jayce,404,6.2,4.7,5.2,59,59.3,Jax,40,4.9,3.7,3.6,23,56.5,Gangplank,1614,6.6,4.3,5.7,17,70.6,Fiora,1045,4.3,4.8,3.7,13,46.2,Lee Sin,3750,6.3,4.1,5.4,12,50.0,Kennen,11086,6.4,6.1,3.8,10,50.0,Lucian,712,6.0,6.0,4.2,9,44.4,K'Sante,0,4.0,3.4,4.3,8,50.0,profesional
