nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Jinno Kingdom,Satoru Gojo03,T1 Gumayusi,HAHAHAHHAHA,Kobbe,Beanovich
땅우양,KR,Challenger,1033,358,55.2,5.4,4.0,7.2,0.0102142725955263,0.0009547096653355,0.0004583111588795,0.0036250933956179,0.0012412061701801,0.0006671429085779,0.0032678092969351
Sophist Sage,EUW,Challenger,1040,347,53.7,5.1,4.4,8.3,0.0097594445549153,0.00098249974511,0.0004376444470457,0.0037096586136373,0.0012041852898789,0.000634250052841,0.002791206406402
qiqi77,EUW,Challenger,1256,96,59.1,6.2,4.1,7.2,0.0089468490572585,0.000622136786139,0.0005738394816486,0.0016133147833629,0.003950978713639,0.001002085930133,0.0011844933623357
FA IsDEAD,BR,Challenger,1006,425,58.6,7.6,5.1,7.6,0.008856581465507,0.0009468380889096,0.0004541073886654,0.0037297163583484,0.0012596580046924,0.0006743450460781,0.0017919165788129
100 Unforgiven,EUW,Challenger,1179,158,52.8,7.6,5.6,6.6,0.0087870057713089,0.0008212896614882,0.0004150792464598,0.0030384433500053,0.001342068435929,0.0006016520766314,0.002568473000795
Scorth,EUW,Challenger,1002,443,52.9,7.4,5.6,7.2,0.0085589032034876,0.0011710290722675,0.0004151528157783,0.0025136886952455,0.001102655270323,0.0005992398833983,0.0027571374664747
Notiko,EUW,Challenger,1048,327,57.0,6.3,4.9,7.0,0.0084341982031323,0.0009263899646022,0.0004400910461635,0.0030188411913028,0.0014070060925344,0.0006639380367848,0.0019779318717443
como a isa,BR,Challenger,1243,109,59.2,7.4,6.6,8.0,0.0082586415944161,0.0006689298967238,0.0004870660443868,0.0021270720886335,0.0028202611576178,0.0007752242054774,0.0013800882015764
Maykel,EUW,Challenger,1002,446,54.3,6.8,4.6,7.4,0.0081093297180858,0.0009665196967153,0.0004696081028133,0.0027069464848989,0.0011449495725003,0.0006788852968167,0.002142420564341
remove ff ggwp,EUW,Challenger,1090,267,54.5,6.4,5.2,7.2,0.0080842581287042,0.000892845552039,0.0004520751688882,0.0021316866876674,0.001140663594455,0.0006422596987869,0.0028247274268675
kksh3,BR,Challenger,1024,374,53.9,6.5,4.3,7.3,0.0080113932353441,0.0008926689534743,0.0004903003990126,0.0026391671829763,0.0015343990847481,0.0007715448768592,0.0016833127382732
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.00065260509181,0.0005144008217712,0.0016735910040321,0.00304724427027,0.0008537425812347,0.0011698532677315
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0006456474159245,0.0005146302762748,0.001626752431132,0.0027835205836045,0.0008511468198005,0.0011290804186359
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0008031926756156,0.0004383684747125,0.0025694074254965,0.0012185877093252,0.0006269455791439,0.0018254183947926
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0007903252981303,0.0004385104448299,0.0024087952523054,0.0011997295921447,0.0006259156951759,0.0016810527998906
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0009626223118986,0.000378315912914,0.0005875360577631,0.0004762081067522,0.0004620607468045,0.0005553915547017
viper3,LAS,Challenger,625,1891,58.7,7.1,4.8,7.2,0.0079114370368498,0.0009406961712528,0.0003784071482065,0.000585434711285,0.0004750610063738,0.0004616480667268,0.0005508485883435
