,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Kongenvenderhjem,칸 나,BiIIy Butcher1,C9 Fudge,FΙGHT
28,sigma bean,BR,Challenger,1196,149,56.1,6.5,5.5,5.3,0.0023165127551568,9.473722338562804e-05,0.0002317514003032,0.0003229307489198,0.0002110462603378,0.0014560471222102
29,BABO TOP,EUW,Challenger,1102,254,54.5,5.5,4.0,5.8,0.0023151785848117,9.459148546128717e-05,0.0002383146372012,0.000331907392222,0.0002172229872495,0.0014331420826776
30,Faithful Snow,BR,Challenger,1009,419,53.7,4.5,4.3,5.5,0.0023010412674685,9.482152775610837e-05,0.0002504954711949,0.0003078643275526,0.000220985898493,0.0014268740424717
31,Invincible1,BR,Challenger,1022,377,55.3,5.6,5.4,5.7,0.0022957492886579,9.522013605589184e-05,0.0002462327879011,0.0003155435935734,0.000220356150199,0.0014183966209283
32,polo capalot,BR,Challenger,1133,211,53.3,6.1,5.8,5.8,0.0022918771038718,9.479651181298528e-05,0.0002354511189138,0.0003067102798953,0.0002106646307022,0.0014442545625474
33,C02Y,EUW,Challenger,905,745,60.1,5.9,5.4,5.6,0.0022595858996752,9.585071944280478e-05,0.0002820403739925,0.0003425087413015,0.0002508078026523,0.0012883782622859
34,324142,KR,Challenger,995,473,53.2,4.6,3.8,5.0,0.0022545885138864,9.568054496305014e-05,0.000250968326282,0.0003152547477802,0.0002235811644163,0.0013691037304448
35,invicta23,EUW,Challenger,926,642,52.9,4.4,5.0,6.1,0.0022473927048944,9.196229102911148e-05,0.0002382308705938,0.0012450100657899,0.0002763966626235,0.0003957928148579
36,lG YSKM,EUW,Challenger,947,576,56.3,5.0,4.8,4.6,0.0022037194816559,9.428596914211726e-05,0.0002787470867913,0.0003318006859895,0.0002435288955504,0.0012553568441824
37,SUPERBEE,EUW,Challenger,909,730,56.5,5.4,4.7,4.5,0.0021870802099076,9.426758053575677e-05,0.0002849023954214,0.0003354763892857,0.0002493514948647,0.0012230823497998
38,고구마팬케이크,KR,Challenger,1001,450,54.1,4.7,3.8,5.0,0.0021860291092798,9.455771364592268e-05,0.0002526080523101,0.0002961477467033,0.0002192825919986,0.0013234330046217
39,Clover,JP,Challenger,1105,247,63.6,5.2,2.9,7.4,0.002156078816853,9.458973294330872e-05,0.000236893914476,0.0003261826977805,0.0002158125232556,0.0012825999483974
40,농심 레드포,KR,Challenger,1016,394,54.4,5.0,5.2,4.6,0.0021376257916063,9.554346931864538e-05,0.0002436980735712,0.0003102652098695,0.0002179039824006,0.0012702150564462
41,Aegis fans,BR,Challenger,1171,166,54.6,6.6,4.8,5.3,0.0021339258371548,9.50607175851528e-05,0.0002313094567533,0.0002924696327622,0.0002054571279723,0.0013096289020816
42,optimusty,EUW,GrandMaster,718,3080,58.3,6.9,5.3,4.8,0.0021263709210366,9.01011066324395e-05,0.0010001684309059,0.0002461449181005,0.0004814880234833,0.0003084684419143
43,supp roam top,EUW,Challenger,1028,369,52.9,6.7,4.2,4.8,0.0021141438936369,9.462233210180496e-05,0.0002443917890469,0.0002960718108041,0.0002146341107672,0.0012644238509168
44,초이통통,KR,GrandMaster,519,4784,60.5,6.3,3.6,6.1,0.002109373069819,8.442310119880337e-05,0.000523424098731,0.0002102456412631,0.0011000208997159,0.00019125932891
45,świnioujście,EUW,GrandMaster,686,3266,56.1,5.4,4.8,4.6,0.0021009780710899,9.009060059202753e-05,0.0006920724438454,0.0002801850037663,0.000751685635493,0.000286944387393
46,BoHan,TW,Challenger,963,546,67.0,5.9,3.2,5.9,0.0020968027056024,9.450373021342044e-05,0.0002575709728797,0.0003135254430365,0.0002277063266652,0.0012034962328074
47,PI Tobi,EUW,GrandMaster,654,3473,53.7,4.0,3.5,7.2,0.0020924516721959,8.800993021492335e-05,0.0004819153253557,0.000290396477927,0.0009850990296809,0.0002470309090172
48,TOP 07,EUW,Challenger,1016,398,55.8,5.4,4.6,5.9,0.0020771397128751,9.474710111121802e-05,0.0002453367370566,0.0002962790268982,0.0002157810335799,0.0012249958142291
49,jx xuyang,KR,Challenger,1006,422,55.5,4.4,5.1,6.5,0.0020770585047719,9.525900092043656e-05,0.0002445894232965,0.000304781363075,0.0002175625343724,0.0012148661831074
50,TL Honda MaRin,EUW,Challenger,995,474,58.3,6.3,4.9,5.8,0.0020721988691569,9.460896207757028e-05,0.0002496787046189,0.0003145589682964,0.0002229652737689,0.001190386960395
51,tyrin777,BR,Challenger,1070,294,54.3,5.3,4.1,4.4,0.002054850005141,9.47453266902502e-05,0.0002376432970066,0.0002951642370248,0.0002104849895655,0.0012168121548537
52,NieUfamCiJezu12,EUW,GrandMaster,704,3168,59.3,4.5,5.1,6.4,0.0020389615396208,9.347334402090451e-05,0.0009245419744954,0.000239392007183,0.0004718452792755,0.0003097089346459
53,Lellisz,BR,Challenger,1115,238,53.2,4.8,3.9,5.6,0.0020186132287349,9.478153351852303e-05,0.0002332737912019,0.0002948768566029,0.0002076604849182,0.0011880205624931
54,100 Tenacity,EUW,GrandMaster,515,4840,53.1,5.5,4.7,5.4,0.0020184408591569,8.669158163861992e-05,0.0011045693810349,0.0001781826035891,0.0004468316953359,0.0002021655975582
55,KT Castle,KR,Challenger,937,610,52.9,5.0,4.7,5.0,0.0020180509649396,9.593210883820108e-05,0.0002617358853889,0.0004326270131108,0.0002531557024063,0.0009746002551952
56,Betão 8,BR,Challenger,1231,116,56.0,4.8,4.8,5.0,0.0019985555619657,9.508325675962944e-05,0.0002264020403218,0.0002878125570967,0.0002016579708266,0.0011875997369607
57,twitch SAMMU,EUW,GrandMaster,735,3004,53.7,2.8,4.3,10.5,0.0019971206721208,8.979109490643768e-05,0.000567217224053,0.0003121515403487,0.0007314424821544,0.0002965183306581
58,Lantun,LAS,Challenger,1142,198,55.5,5.1,4.3,4.6,0.0019960199002918,9.463310517997718e-05,0.0002309399228466,0.0002929143045891,0.0002056496153616,0.0011718829523144
59,Annie IRL,EUW,Challenger,1031,363,52.1,5.1,5.3,5.9,0.0019908631737728,9.424053386477284e-05,0.0002572248633347,0.0003844208008682,0.0002383198041613,0.0010166571715438
60,shady mathers,BR,Challenger,1308,77,58.6,7.9,6.8,5.2,0.0019895859276661,9.421072693016893e-05,0.0002290603796846,0.0004451658610104,0.0002240320252431,0.0009971169347978
61,Snow Lion,EUW,Challenger,934,616,52.6,5.0,4.8,4.3,0.0019827827064851,9.501392051133382e-05,0.0002588556054586,0.0002987983985181,0.000225647496872,0.0011044672851248
62,soz,EUW,Challenger,1140,201,55.5,5.4,4.0,5.2,0.0019794621196878,9.580311264033768e-05,0.0002300383657541,0.0002859943516048,0.0002040026869762,0.0011636236027122
63,goth kızlar dm,TR,Challenger,1391,45,68.4,6.6,4.0,5.6,0.0019767341198507,9.664574506306556e-05,0.0002210012411559,0.0002850171320531,0.0001982128122336,0.0011758571893448
64,eYa Bewbiou,EUW,Challenger,1002,445,54.8,4.0,4.1,5.2,0.0019640363400766,9.285497359030778e-05,0.0002393252583184,0.0008635206966278,0.0002608001036601,0.0005075353078798
65,리바이 병장,KR,Challenger,818,1049,55.5,5.2,5.7,5.4,0.0019557395517223,9.495258448641404e-05,0.0003122381511631,0.0003348552105051,0.0002696585469288,0.0009440350586387
66,SK Irrelevant,EUW,GrandMaster,683,3290,52.5,5.8,5.8,5.0,0.0019539493960489,9.15358670595916e-05,0.00086380733556,0.0002368504837675,0.0004563470064969,0.0003054087031647
67,markyyy,EUW,Challenger,942,594,54.5,4.8,5.1,5.0,0.0019538642170787,9.534536864876896e-05,0.0002548057180129,0.0003009278287952,0.0002245114922589,0.0010782738093628
68,Drututt,EUW,Challenger,890,798,53.1,6.2,4.2,4.2,0.001940077397054,9.229862716324354e-05,0.0002545682068412,0.0008567257753923,0.0002877487135347,0.0004487360741224
69,Drututt,EUW,Challenger,890,798,53.1,6.2,4.2,4.2,0.001940077397054,9.126173569754384e-05,0.0003223469078726,0.0005075503143018,0.0003978089425111,0.0003593154174946
70,Drututt,TW,Challenger,631,1850,55.9,6.2,4.2,4.2,0.001940077397054,9.229862716324354e-05,0.0002545682068412,0.0008567257753923,0.0002877487135347,0.0004487360741224
71,Drututt,TW,Challenger,631,1850,55.9,6.2,4.2,4.2,0.001940077397054,9.126173569754384e-05,0.0003223469078726,0.0005075503143018,0.0003978089425111,0.0003593154174946
72,Drututt,TW,Challenger,631,1850,55.9,6.2,4.2,4.2,0.0016782833178778,9.229862716324354e-05,0.0002545682068412,0.0008567257753923,0.0002877487135347,0.0004487360741224
73,Drututt,TW,Challenger,631,1850,55.9,6.2,4.2,4.2,0.0016782833178778,9.126173569754384e-05,0.0003223469078726,0.0005075503143018,0.0003978089425111,0.0003593154174946
74,Drututt,EUW,Challenger,890,798,53.1,6.2,4.2,4.2,0.0016782833178778,9.229862716324354e-05,0.0002545682068412,0.0008567257753923,0.0002877487135347,0.0004487360741224
75,Drututt,EUW,Challenger,890,798,53.1,6.2,4.2,4.2,0.0016782833178778,9.126173569754384e-05,0.0003223469078726,0.0005075503143018,0.0003978089425111,0.0003593154174946
76,TwTv stefankolol,EUNE,Challenger,1004,437,58.9,5.7,3.6,4.5,0.0019298283133931,9.457996446025912e-05,0.0002440056916695,0.0002936005209839,0.0002148796485143,0.001082762487765
77,Thiensf,OCE,Challenger,1226,120,53.6,5.6,4.6,5.8,0.00191809143569,9.455509194319456e-05,0.0002252730853269,0.00028703987481,0.0002006020745182,0.0011106213090915
78,Urmonardrene,EUW,Challenger,820,1041,63.3,4.6,4.8,5.7,0.0019135035661979,9.459662153535828e-05,0.0003064043552899,0.0003609071889637,0.0002752606193412,0.0008763347810677
79,Vertigo0,EUW,Challenger,958,552,53.5,5.6,3.9,5.3,0.0019083031862999,9.51878094715773e-05,0.0002519085447383,0.0002865208718446,0.0002186310652525,0.0010560548949929
80,Ushuala,EUW,Challenger,883,815,54.5,3.8,4.4,7.5,0.0019049254193437,9.442160581592731e-05,0.0002745328305836,0.0003795216107107,0.0002558660033977,0.0009005833688357
81,Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0019033677710619,8.785446578736934e-05,0.0009677081766037,0.0001941869026523,0.0004168024181415,0.0002368158078768
82,Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0019033677710619,8.786141126864972e-05,0.0009611984782771,0.0001940865949945,0.000415550147821,0.0002368857335792
83,Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0018955823659405,8.785446578736934e-05,0.0009677081766037,0.0001941869026523,0.0004168024181415,0.0002368158078768
84,Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0018955823659405,8.786141126864972e-05,0.0009611984782771,0.0001940865949945,0.000415550147821,0.0002368857335792
85,Gen G Zest,KR,Challenger,1021,382,54.2,4.9,4.4,5.3,0.0019033640755663,9.517086787009812e-05,0.0002394372181619,0.0002853809574477,0.0002101784414946,0.0010731965905918
86,톱 왕,EUW,Challenger,862,896,56.2,6.6,5.2,5.4,0.001901109663795,9.543567678391408e-05,0.0002843155764144,0.0002975950789253,0.0002423090429304,0.0009814542887409
87,IHG PolskiKoz,EUW,Challenger,963,544,54.6,5.4,4.5,4.8,0.0018967529187771,9.44669184329271e-05,0.0002556893110519,0.0005130208164094,0.0002570989188615,0.0007764769540213
88,Dia Kektz,EUW,GrandMaster,621,3721,55.1,4.5,3.8,5.5,0.0018954841593786,9.068543538579238e-05,0.0009029152847669,0.0002101217535717,0.0004247222171125,0.0002670394685415
89,玳打微ysrw77,JP,Challenger,1039,352,56.2,6.2,5.3,5.2,0.0018876674209053,9.455853101898696e-05,0.0002383480164878,0.0002856687969339,0.0002094411598693,0.0010596509165952
90,Jauny,LAN,Challenger,1562,16,61.7,8.0,4.4,5.6,0.0018863424622335,9.46962147157114e-05,0.00021970154516,0.0002861572337178,0.0001969137213379,0.001088873747302
91,Lîcht Rêgên,EUW,GrandMaster,601,3945,54.2,5.4,4.2,4.9,0.001884876414034,8.767187021841296e-05,0.0005244978138978,0.0002462892919926,0.0007947658664685,0.0002316515714564
92,DeepVibes,LAS,Challenger,963,542,52.3,4.8,4.5,6.4,0.0018789153287984,9.453330206133608e-05,0.0002494984463271,0.0002902734262574,0.0002178655615074,0.0010267445926451
93,Meteor is coming,KR,Challenger,946,574,55.1,4.1,4.0,4.5,0.0018775187106247,9.634811781538942e-05,0.0002500629438605,0.0002862311756311,0.0002183187028336,0.0010265577704839
94,Ënder,LAN,Challenger,1144,195,58.9,6.8,3.4,4.4,0.001872481903578,9.455817628841552e-05,0.0002296600114929,0.0002848275760941,0.0002036015133745,0.0010598346263279
95,reverse,BR,Challenger,927,639,55.3,5.9,4.8,5.1,0.0018635188056318,9.37234714896894e-05,0.0002626927265821,0.0005324554668525,0.0002663138188734,0.0007083333218339
96,Sufukato,LAS,Challenger,944,586,57.8,6.6,3.4,6.1,0.0018600075664314,9.511787137687311e-05,0.0002522066259217,0.0002912555916005,0.0002206817289692,0.001000745748563
97,Yung Fappy,EUW,Challenger,1057,312,53.3,4.2,4.3,4.3,0.0018561322683983,9.451259773571632e-05,0.000235375127306,0.0002864432393045,0.0002075366206908,0.0010322646833611
98,Plan Chrysalide,EUW,Challenger,824,1024,54.5,6.5,7.3,5.2,0.0018513508433912,9.410738132297896e-05,0.0002996191784199,0.0003208461933812,0.0002588356196739,0.000877942470593
99,Krøllen,EUW,GrandMaster,773,2874,67.1,7.8,6.1,5.1,0.0018506841697688,9.115150013292408e-05,0.0007013445223541,0.0002638059471923,0.0004469312656268,0.0003474509344625
100,빈 스토리,KR,GrandMaster,606,3874,58.3,5.3,4.3,4.5,0.0018483264720839,9.32532495073362e-05,0.0006703867382654,0.0002319453704667,0.0005972247561022,0.0002555163577422
101,LordBastionIII,EUW,Challenger,854,920,54.9,1.7,5.2,15.2,0.0018451062031597,9.45930828944246e-05,0.000281521278724,0.0003356022894499,0.0002524956807502,0.000880893871341
102,2035 TCL Champ,EUW,Challenger,902,752,58.3,7.0,4.9,4.7,0.0018314752471569,9.378043127173654e-05,0.0002680626570551,0.0005233036129242,0.0002728618333266,0.0006734667125791
103,SatØrius,EUW,Challenger,862,896,54.0,3.5,4.4,6.9,0.001826923105401,9.292146658196122e-05,0.0002698652068782,0.0006543281770934,0.0002928543755007,0.0005169538793465
104,BOLADO DMS,BR,Challenger,976,504,52.6,4.2,5.4,6.6,0.0018265557613063,9.458090682933396e-05,0.0002477083063554,0.0002933007272644,0.0002180206239126,0.0009729451969443
105,faker god top,EUW,Challenger,822,1029,53.8,4.8,3.2,5.6,0.0018257352263517,9.413914379505888e-05,0.0003163846255183,0.0003058296759671,0.0002617138895247,0.0008476678915464
106,Keñus,LAS,Challenger,966,534,52.0,5.5,4.2,5.3,0.0018253730168301,9.456577825994192e-05,0.000247467380185,0.0002855272767712,0.000215605123321,0.0009822074582928
107,Challenq,LAN,Challenger,968,532,60.9,8.3,4.3,4.9,0.0018253264226691,9.478449087943152e-05,0.0002475538022472,0.0002842864556619,0.0002157271921368,0.0009829744817437
