nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
5kid,EUW,Challenger,1577,14,59.2,7.5,4.5,7.2,0.0067383179044758
Auto,EUW,Challenger,811,1071,53.5,5.2,5.6,8.3,0.0067224588109689
lubheart,EUW,Challenger,968,530,55.2,7.1,5.4,6.7,0.0067066547488595
Eyer,BR,Challenger,1259,94,55.0,7.1,5.5,6.8,0.0066337339422858
Moyuのトリス侍,JP,Challenger,1039,352,54.2,7.7,5.7,7.5,0.0066321015876641
전설의 방귀,KR,Challenger,829,1007,52.7,6.8,4.3,5.9,0.0065992101321542
Wózkowy Kamil,EUNE,Challenger,1067,298,65.4,7.9,5.0,7.0,0.0065906395971763
Gigachad SamD,EUW,Challenger,1484,22,69.5,7.5,4.1,7.1,0.0065871122391114
TakeSet sama,EUW,Challenger,1351,54,56.4,7.1,4.3,6.6,0.0065509888063809
김빵덕1,KR,Challenger,1252,98,57.0,5.3,5.0,9.3,0.0065503357669667
tt vuc7777,BR,Challenger,1228,119,52.9,7.5,5.5,7.3,0.0065177478620578
supaaaaaaaaaaaaa,EUW,Challenger,1323,71,56.6,7.4,4.9,6.5,0.0064966577533412
blazar3,BR,Challenger,963,543,54.4,7.2,6.1,5.8,0.0064723589921272
vA1U3,EUW,Challenger,891,794,51.9,6.1,4.2,6.6,0.0064328633695024
FUN k3y,EUW,Challenger,1053,321,57.9,7.9,5.8,7.0,0.0064109234649686
hellcat13,EUW,Challenger,921,662,52.0,5.8,5.1,7.1,0.0063552760865392
FA Kingdom,KR,Challenger,860,898,52.2,6.2,4.5,6.4,0.0063323964202373
C9 Lost,EUW,Challenger,1457,26,59.8,7.7,4.2,6.5,0.0062850970812282
China first,PH,Challenger,1195,151,49.6,4.9,4.5,5.6,0.006226134703743
この人より他なし,JP,Challenger,1054,319,53.9,6.1,4.9,8.5,0.0062213715774281
練英帳號,TW,Challenger,882,820,52.2,6.1,5.4,7.6,0.0061916402076211
Gnetîc,LAN,Challenger,1049,329,62.5,7.8,4.4,8.1,0.0061888090378144
Tomo99,EUW,Challenger,1202,142,55.9,6.2,5.4,7.5,0.0061834473681933
Kaeden,RU,Challenger,1045,339,58.4,7.0,4.9,9.1,0.006168780696398
TitaN,BR,Challenger,1283,85,58.5,8.2,6.0,8.8,0.0061468512971981
Insomniaa,EUW,Challenger,912,712,51.6,5.9,4.9,6.0,0.0061334270867186
DK Rahel,KR,Challenger,1229,116,57.5,5.8,4.2,6.5,0.0060890662579219
Rayro,BR,Challenger,1015,395,53.1,8.2,5.3,5.8,0.0060661019104572
Mαster Oogwαy,EUW,Challenger,1220,125,60.1,6.8,4.5,6.6,0.0060262927899493
Rey Santiz,LAN,Challenger,765,1236,51.2,5.6,4.3,7.1,0.0060082777195527
