nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
BABO JUNGLE1,Vi,49,5.4,3.8,9.0,57.7,Elise,7,6.7,4.0,7.7,72.0,Jhin,1,6.3,5.2,7.8,55.8,0.0075371010446658
loveIyx,Viego,264,7.7,5.7,7.4,59.4,Ekko,10,8.5,4.5,6.1,52.5,Kha'Zix,245,12.6,6.2,7.9,61.5,0.0074023291291027
LOS CrjaY,Elise,94,8.0,4.5,7.4,55.2,Graves,32,8.7,5.2,7.4,54.8,Wukong,15,7.9,4.8,8.3,48.1,0.0073940682475426
但偏偏雨漸漸,Nidalee,10,8.8,3.7,6.4,58.7,Talon,14,9.2,4.0,4.9,65.9,Katarina,26,9.2,3.4,3.5,61.5,0.0073851454622168
Bo Fan,Wukong,111,8.2,4.8,8.4,66.2,Jarvan IV,3,6.0,4.9,11.6,56.9,Elise,69,8.8,4.5,8.3,75.0,0.0073548784583352
mxxxx,Elise,47,8.7,4.3,7.6,65.5,Sylas,12,7.4,5.5,6.2,50.0,Lee Sin,191,8.5,4.6,9.2,56.6,0.007340529488762
MartinSON,Ekko,15,7.7,3.7,6.5,52.1,Maokai,21,5.1,3.6,13.1,73.0,Graves,1,7.2,4.5,7.6,39.5,0.0073344601881932
King,Zac,76,5.3,4.7,9.1,52.5,Rengar,17,9.9,5.2,5.6,62.0,Draven,36,7.1,5.9,6.6,52.3,0.0072982958757949
AERO X BANE PAIN,Jarvan IV,1,6.9,5.4,14.3,67.2,Lee Sin,2,8.3,4.3,9.1,67.8,Olaf,4,7.5,4.4,6.2,62.2,0.0072740831145779
NNJ Azrawr,Viego,4,10.2,4.7,5.7,61.9,Lee Sin,192,8.9,4.6,7.4,47.4,Olaf,3,8.6,3.2,5.1,73.7,0.0072357669558791
피그말랑 효과,Graves,108,6.6,4.8,7.8,56.2,Elise,21,8.4,5.4,8.1,57.1,Nidalee,67,7.4,4.3,7.0,56.0,0.0072250198693958
STEPZ,Graves,3,7.6,5.4,6.7,57.6,Sylas,114,11.4,6.6,8.1,57.1,Irelia,5,11.9,8.5,5.1,65.3,0.0071864173160194
Ice Prince,Lee Sin,4,8.3,4.1,9.1,65.5,Graves,99,7.8,4.9,7.3,50.0,Sylas,1,8.5,5.8,6.2,44.0,0.007110628093498
eilataN,Nidalee,27,8.6,4.6,8.0,60.7,Sylas,37,8.6,6.3,7.6,49.0,Elise,223,9.0,4.4,9.2,66.7,0.0071057374937224
Soweto,Lee Sin,84,8.6,4.8,7.8,53.3,Wukong,58,9.6,4.9,8.5,63.0,Elise,15,10.8,4.8,8.3,70.0,0.0071030391309059
Promise to Dark,Viego,128,7.7,4.0,7.4,62.2,Graves,5,6.3,3.9,7.2,56.9,Sylas,33,7.5,4.2,6.0,44.4,0.0071026848961354
林小希,Gragas,5,5.1,4.1,8.0,61.6,Xin Zhao,1,6.0,4.4,7.8,57.6,Pantheon,2,7.8,4.2,7.4,70.5,0.0070921347292549
LEWANDOWSKI 9,Lee Sin,44,10.7,3.9,8.2,73.3,Viego,329,9.5,3.8,8.5,78.6,Sylas,110,9.7,4.9,5.4,71.4,0.0070275287224601
oerwoud,Lee Sin,86,8.3,4.5,9.1,52.9,Wukong,260,6.7,4.5,7.0,48.3,Vi,348,5.0,4.6,11.3,60.0,0.0070237597103405
Curling Captain,Elise,151,7.2,4.3,7.6,63.1,Lee Sin,14,6.3,4.2,7.5,51.7,Gragas,86,3.3,3.8,6.6,57.7,0.0069963574160684
Gragolandia,Hecarim,128,9.1,6.7,7.4,64.7,Gragas,3,6.7,6.9,7.0,51.2,Lee Sin,37,7.3,7.6,7.6,43.5,0.0069872107277555
FA Vinite,Maokai,120,4.4,5.0,10.1,62.5,Lillia,14,6.2,4.6,8.7,55.1,Nunu y Willump,6,3.5,3.9,11.8,70.6,0.0069703052408621
PB Lord Semi,Rammus,68,5.0,3.3,10.3,57.6,Zac,10,3.6,4.2,9.2,41.6,Jarvan IV,91,3.9,5.2,11.4,42.9,0.006967056043718
Big Genos,Maokai,132,5.3,4.4,9.6,47.8,Sylas,86,9.9,4.7,8.0,70.6,Gragas,58,7.7,5.3,9.9,60.0,0.0069320968289993
hwa i tings,Lee Sin,9,7.6,4.4,8.1,51.2,Nidalee,216,8.1,4.0,9.0,60.5,Elise,34,7.4,3.3,7.9,65.5,0.0069252286367099
갱스기무라,Wukong,32,6.3,4.2,7.3,50.0,Lee Sin,69,7.4,3.3,8.1,72.4,Sejuani,398,3.8,3.6,11.3,67.9,0.0068629545895045
no more slacking,Sylas,106,7.9,4.9,7.3,55.7,Graves,54,6.1,4.5,7.9,54.7,Lee Sin,29,7.6,4.4,9.0,58.8,0.0068538591945468
주사는 무서워,Sylas,73,9.8,4.3,7.2,61.3,Viego,31,6.9,3.8,7.5,61.7,Gragas,29,6.5,3.6,8.5,42.9,0.0068345778764883
Astrax00,Jarvan IV,245,5.9,5.1,14.2,64.5,Nunu y Willump,11,3.3,4.2,12.2,61.0,Xerath,14,4.7,5.1,11.3,53.5,0.0067977791647852
readysetgo1,Graves,94,7.4,3.3,7.8,59.5,Zac,67,5.4,3.0,11.3,75.0,Kindred,71,8.2,5.3,7.5,54.2,0.0067478376118452
Music101,Graves,43,8.0,4.0,8.6,61.9,Elise,253,8.1,2.6,10.0,85.7,Gragas,59,6.9,2.9,11.5,78.6,0.0067371014728066
jgWorm,Elise,171,8.4,5.7,8.1,61.1,Sylas,71,9.4,6.2,6.2,55.2,Twitch,312,8.8,7.6,9.5,56.0,0.0067240606121662
Badlulu fan,Graves,125,8.1,4.1,7.5,57.1,Lee Sin,102,8.1,4.2,9.4,64.5,Nidalee,220,9.2,2.9,8.6,53.6,0.0067153972420582
kanaaa,Hecarim,153,9.3,4.1,7.7,61.7,Gragas,25,5.6,3.3,8.2,53.2,Karthus,99,7.0,5.3,9.5,58.3,0.0067064252192561
BT1 Levi,Sylas,113,7.2,4.8,7.4,63.1,Udyr,5,5.5,4.1,7.8,54.3,Maokai,148,4.8,5.2,10.8,47.4,0.0066900697769416
Gutizin do corta,Sylas,345,9.5,6.5,7.4,59.4,Kindred,17,8.9,7.6,7.9,59.3,Lee Sin,126,8.1,6.2,7.7,34.8,0.006612425428958
Canon,Sejuani,16,4.1,3.6,10.9,53.1,Jarvan IV,4,3.0,4.5,14.7,57.8,Viego,9,6.9,5.2,6.4,56.8,0.0065959814606515
APOJHE,Lee Sin,4,9.5,4.7,10.1,59.5,Nidalee,7,10.3,3.4,9.9,70.8,Gragas,4,10.3,3.4,8.3,80.0,0.0065906402197657
KANG HYUNJUN,Kayn,6,8.3,6.7,6.5,45.5,Lee Sin,33,7.9,4.4,9.0,62.5,Ezreal,23,7.3,3.5,7.4,85.0,0.0065901940312186
JUGKlNG1,Samira,22,9.3,5.3,5.4,52.9,Graves,44,6.7,4.5,6.3,55.1,Gragas,7,7.7,3.3,7.8,55.0,0.0065900370822644
KIREAS1,Graves,205,10.1,6.6,8.4,62.8,Lee Sin,93,10.1,6.2,9.5,66.7,Elise,47,8.8,6.2,8.7,69.0,0.0065713458145221
IW Elramir,Maokai,397,4.3,5.1,9.4,57.1,Kindred,70,6.8,7.1,7.4,49.0,Ornn,130,3.4,4.9,8.4,62.2,0.0065590980713914
TwTvLeaningTable,Rammus,10,5.9,4.2,12.3,66.7,Evelynn,6,11.3,3.7,8.3,82.1,Sejuani,8,5.3,3.1,11.8,68.8,0.0065432709714625
Kneking,Bel'Veth,21,7.5,3.7,6.5,57.1,Sylas,29,10.9,4.9,7.5,69.4,Viego,3,6.8,5.1,7.8,52.9,0.0065370735667307
Kosanuemi,Lee Sin,150,7.4,5.2,8.4,57.1,Elise,38,7.8,4.2,6.9,61.7,Vi,23,5.8,5.0,8.5,57.1,0.0065078750413718
RhiIech,Sylas,172,9.3,6.2,7.2,53.8,Elise,90,9.7,5.3,7.5,59.1,Viego,155,8.1,5.4,7.7,48.3,0.0065064410496782
Xinxa7,Sylas,138,8.9,4.3,7.1,67.3,Graves,1,9.0,4.0,7.3,68.4,Tryndamere,85,5.6,4.2,4.0,50.0,0.0064767584054215
Cesaroxx,Kayn,22,9.4,3.4,7.3,59.6,Zac,23,4.6,2.7,13.3,68.9,Viego,6,7.3,4.2,6.5,40.0,0.0064539455900077
zikiinha,Lee Sin,214,7.0,5.4,9.3,54.1,Xin Zhao,323,7.0,6.2,8.2,61.1,Elise,56,8.6,7.0,7.4,45.0,0.0064442799922249
MrGraek,Diana,2,7.6,5.7,7.9,66.2,Kayn,257,9.7,4.3,6.8,64.8,Graves,3,7.0,4.6,8.1,57.9,0.0063982951357488
Funny Youu,Viego,3,10.4,4.7,6.1,56.1,Yone,3,7.2,5.3,4.8,48.1,Aatrox,27,7.4,5.1,6.9,71.4,0.0063900195196984
flash2468,Ekko,11,7.9,4.7,6.8,47.6,Jarvan IV,10,8.1,4.0,12.2,76.9,Sylas,1,9.3,4.7,7.9,65.4,0.0063611415838008
Michi Wo Yuke,Maokai,78,4.3,3.7,9.4,67.4,Kayn,31,8.6,4.3,6.6,57.5,Lee Sin,40,8.1,3.8,9.1,76.5,0.0062993430456166
qweasdcxz,Gragas,57,5.6,2.9,8.7,60.0,Wukong,99,8.1,3.5,9.7,68.6,Elise,58,8.4,3.3,9.6,82.1,0.0062974995337882
qqxasssdd,Lee Sin,16,8.1,4.7,10.4,62.3,Gragas,3,5.4,4.3,10.1,55.0,Sejuani,4,4.8,3.5,12.5,50.0,0.0062747362388111
gRIZZlybear123,Viego,192,7.9,4.1,7.0,47.2,Graves,385,8.6,4.0,9.2,58.8,Nidalee,219,8.8,3.6,7.1,63.6,0.0062671918701739
Luccho,Lee Sin,34,7.5,5.5,9.5,59.2,Maokai,28,4.9,5.6,11.2,63.9,Nidalee,11,6.7,5.3,8.7,51.7,0.0062372816067385
BrotherGaren,Kayn,7,11.0,4.9,7.2,57.6,Ekko,7,9.0,2.7,7.5,74.2,Fiora,4,8.3,5.1,5.7,73.3,0.0062290860244919
WillowTheRaccoon,Wukong,113,7.8,3.4,7.3,68.3,Viego,109,7.9,3.9,8.1,53.6,Maokai,651,5.0,4.0,11.3,53.8,0.0062099387646361
Renascence,Diana,15,8.4,4.0,6.8,62.5,Graves,181,7.9,5.5,9.4,53.3,Hecarim,34,8.8,5.6,6.5,53.3,0.0062078380188947
Hanisito,Diana,21,9.6,4.6,6.2,73.5,Kayn,18,10.3,4.4,6.8,54.5,Xin Zhao,100,9.5,5.6,6.5,53.3,0.0061885970304513
ICrazzy Ekko,Ekko,18,8.8,4.5,5.7,59.3,Gragas,561,4.4,5.7,7.7,58.3,Maokai,1,4.8,5.9,11.3,70.0,0.0061582388912138
FORA999,Kindred,130,8.0,5.0,6.5,62.2,Graves,8,7.5,4.5,7.5,56.5,Wukong,326,6.3,4.8,6.6,55.6,0.0061231921668
VIV Joinze,Nidalee,230,8.3,3.5,8.1,60.4,Kindred,12,8.1,3.7,5.9,69.4,Maokai,74,4.2,4.2,10.7,61.3,0.0061111794367796
paiN anato,Lee Sin,216,7.7,4.4,8.2,75.6,Nidalee,3,8.8,4.6,8.0,50.0,Graves,23,8.3,5.2,9.7,69.2,0.00609694299077
Leemo,Graves,133,6.7,3.9,8.0,61.3,Elise,8,6.2,3.7,8.0,58.6,Sylas,199,7.5,4.5,7.3,59.3,0.0060905500445814
Køldo Locuraa,Bel'Veth,178,9.1,3.9,7.8,68.3,Lee Sin,6,7.7,4.7,8.8,50.0,Viego,555,7.1,4.2,7.9,45.7,0.0060754882509758
教學 dc迎神6305,Ekko,2,7.7,4.0,6.3,63.0,Nidalee,508,8.6,3.1,9.2,74.4,Kayn,16,7.3,5.6,6.5,51.9,0.0060644322102898
Eri my beloved,Viego,1,9.3,3.4,6.2,72.5,Hecarim,1,9.7,3.3,6.2,75.0,Lee Sin,12,8.4,3.8,9.1,78.6,0.0060514408597675
ITSJUSTAGAMEDUDE,Rengar,203,10.7,4.3,5.9,73.1,Hecarim,75,10.2,4.9,6.6,60.0,Kindred,208,9.4,3.8,7.3,66.7,0.0060425339828552
Not Hans,Maokai,144,4.1,4.4,10.8,57.0,Hecarim,23,7.1,5.9,8.3,48.0,Kayn,56,8.8,6.4,7.2,51.2,0.0060255883862962
MANATY RANK 1,Kindred,278,9.1,4.3,6.9,67.3,Wukong,5,7.6,3.6,6.9,55.1,Ashe,81,2.4,6.3,15.0,56.8,0.006013306389871
모두 행복해요,Lee Sin,65,7.4,4.3,9.4,61.8,Sylas,27,5.7,5.6,6.4,41.7,Nidalee,493,7.1,3.0,8.0,65.9,0.0059904201503241
HLE Grizzly,Lee Sin,131,7.2,4.1,7.2,56.2,Viego,145,7.6,4.5,7.7,59.3,Sylas,9,7.7,4.9,6.8,50.0,0.0059859673882628
giveupp,Maestro Yi,283,7.3,4.8,4.7,57.2,Hecarim,17,6.3,5.6,7.8,43.4,Ekko,45,6.8,6.0,6.6,38.2,0.0059847717757634
redcrab84,Graves,270,7.5,4.8,8.6,56.6,Elise,31,8.3,4.0,7.9,65.7,Xerath,166,5.0,4.2,9.4,50.0,0.0059385829178306
Zelzeleniş,Evelynn,15,10.6,4.7,7.4,73.3,Olaf,2,5.4,5.7,4.5,61.5,Nocturne,3,9.7,6.7,7.9,50.0,0.0059162838472815
BRO DDoiV,Lee Sin,150,6.3,4.8,8.7,53.3,Nidalee,181,6.8,3.6,8.2,59.4,Elise,40,5.6,5.4,7.8,57.7,0.0058932235357666
Mimage,Fiddlesticks,196,6.3,3.9,9.4,61.1,Vi,179,5.5,4.9,8.3,47.2,Jarvan IV,5,4.3,3.6,11.8,60.0,0.0058822822637318
陪袋V xinshenjug,Lee Sin,9,7.6,4.4,9.9,74.2,Kayn,8,9.4,5.0,6.2,57.1,Ekko,25,10.6,3.6,7.4,75.0,0.0058687532578299
Menchennik,Vi,281,6.1,5.8,11.4,57.5,Maokai,147,3.7,4.7,13.3,69.2,Sejuani,168,5.5,3.6,13.1,52.6,0.0057546890833799
Ed Rebirth,Nunu y Willump,46,4.1,3.7,12.6,57.0,Rammus,5,5.4,3.6,11.0,53.1,Alistar,8,1.0,6.0,13.5,36.4,0.005744519294312
Billy Butcher XD,Viego,335,9.4,5.1,6.4,51.9,Bel'Veth,919,8.3,5.6,6.9,63.6,Lee Sin,538,8.1,5.4,10.2,76.5,0.005738759450749
Billy Butcher XD,Wukong,6,6.8,3.2,7.0,69.2,Lee Sin,103,7.2,5.3,8.7,55.0,Vi,684,7.7,4.0,10.8,70.0,0.005738759450749
Billy Butcher XD,Wukong,6,6.8,3.2,7.0,69.2,Lee Sin,103,7.2,5.3,8.7,55.0,Vi,684,7.7,4.0,10.8,70.0,0.0057291025704211
Billy Butcher XD,Viego,335,9.4,5.1,6.4,51.9,Bel'Veth,919,8.3,5.6,6.9,63.6,Lee Sin,538,8.1,5.4,10.2,76.5,0.0057291025704211
Bow,Graves,37,8.1,4.5,8.0,77.5,Elise,6,8.9,5.7,9.1,67.9,Xerath,1,5.7,5.4,11.8,63.2,0.0057189328479473
WAP 5,Elise,79,8.8,3.9,7.6,68.4,Wukong,219,8.9,4.9,6.6,52.6,Vi,648,7.1,3.0,8.0,86.7,0.005700623398171
Multirole Talent,Udyr,30,6.4,3.8,8.0,56.8,Elise,49,9.8,4.2,6.3,61.5,Graves,800,9.5,4.0,6.9,73.9,0.0056232847237303
EmbraceYourPain,Ekko,16,11.8,3.9,7.3,74.4,Vladimir,62,7.6,3.9,5.9,61.5,Zed,1,8.1,4.7,6.6,25.0,0.0056151219363586
6K OnFleek,Sylas,1,9.1,4.8,6.5,50.0,Jax,137,5.5,4.5,3.2,65.6,Vi,148,6.2,5.1,8.9,63.3,0.0056000477782679
WillNA1,Graves,231,6.4,3.0,8.0,63.6,Viego,3,7.0,3.4,7.3,47.1,Kindred,29,7.2,3.6,6.3,49.2,0.0055842664842738
Sylvie,Lee Sin,138,7.6,3.9,7.9,66.0,Viego,11,7.8,3.7,7.6,58.1,Wukong,222,6.6,3.8,6.4,54.5,0.005551468996104
UDYSOF,Evelynn,18,9.6,3.2,6.9,67.3,Jarvan IV,1,7.5,4.5,12.9,56.0,Maokai,1,3.8,4.7,10.8,64.3,0.0055204208771529
Оutsidеr,Morgana,12,2.5,5.9,14.2,65.7,Maokai,331,3.8,5.1,12.3,58.3,Lucian,3,7.2,6.1,6.3,52.4,0.0054933286212567
Dani Marshall,Maestro Yi,51,8.7,5.7,5.5,61.6,Mordekaiser,3,6.2,4.8,6.5,52.9,Volibear,16,6.0,5.2,8.9,53.0,0.0054416690757855
naiyoubaby,Lee Sin,34,8.8,4.5,7.9,64.7,Nidalee,455,11.3,4.1,7.1,66.7,Taliyah,688,7.2,5.0,10.4,60.9,0.0053822217883139
KingClueless,Nidalee,258,7.5,4.3,7.3,50.0,Maokai,125,5.1,4.4,13.9,56.0,Udyr,706,4.9,3.3,8.9,52.4,0.0053458952189249
Chicag0Freestyle,Graves,371,7.5,4.3,9.5,66.7,Vi,69,5.3,3.3,9.4,58.3,Lee Sin,196,6.8,3.5,7.9,54.5,0.0053131528017406
twtchtv detdert,Kha'Zix,432,8.3,3.8,7.7,58.4,Jarvan IV,22,5.8,5.5,14.0,58.3,Vi,84,5.5,6.1,9.2,46.9,0.0053008891582459
Thaybot,Vi,319,5.3,4.1,9.3,65.7,Wukong,2,6.1,3.4,6.1,54.1,Jarvan IV,474,5.3,4.4,14.4,65.6,0.0052860553939731
The 글로리,Lee Sin,117,7.4,2.8,9.0,70.8,Sejuani,5,3.7,3.3,12.0,69.6,Elise,1,6.9,3.7,7.5,64.7,0.0052654844340448
MorninStar,Zac,16,5.2,3.9,11.9,63.9,Viego,3,7.3,6.1,6.9,50.0,Wukong,117,4.2,5.3,8.6,58.3,0.0052294837539388
Ai Hayasaka,Zac,24,7.4,4.2,11.4,64.6,Maokai,15,4.4,5.7,12.8,56.3,Vi,1,6.5,6.2,10.9,63.0,0.0052127882011869
TaiYangShen,Talon,227,9.0,4.3,7.0,59.3,Rengar,13,7.3,4.9,5.2,53.7,Sylas,100,8.2,5.3,6.6,56.7,0.0051971822829597
Ozilardann,Kindred,181,8.5,5.2,7.6,69.4,Wukong,48,8.2,4.7,7.4,57.9,Graves,607,8.2,3.9,10.0,80.0,0.0051965158471399
JUGKING,Rengar,29,9.3,4.6,6.1,62.5,Kayn,3,8.7,5.4,6.2,48.1,Sylas,41,8.6,5.2,9.1,60.0,0.0051882601147949
我女友還沒16歲,Pantheon,8,7.3,3.9,7.3,62.0,Wukong,11,4.5,4.3,5.9,33.3,Renekton,749,2.1,4.5,4.6,50.0,0.0051870487898507
lalms,Ekko,7,8.1,4.8,6.2,56.7,Maokai,784,4.8,3.5,9.7,71.4,Zac,8,4.8,3.3,11.1,62.2,0.0051731076511928
Josedeodo,Sylas,46,10.8,4.9,6.4,60.0,Maokai,941,6.3,3.5,11.3,73.7,Viego,229,6.9,3.2,5.8,55.6,0.0051729503205515
Gilius2,Wukong,244,6.5,3.8,7.1,56.3,Graves,66,5.4,3.9,7.7,55.0,Rumble,725,5.1,4.5,5.8,52.9,0.0051707503660829
YNW MELLYY,Wukong,326,7.3,3.9,8.2,69.0,Graves,75,5.4,4.9,6.2,47.1,Viego,463,7.5,4.6,6.7,63.6,0.0051535746210032
NattyNatt,Rengar,80,8.9,4.9,5.0,59.4,Dr. Mundo,40,3.7,5.4,3.2,45.1,Sion,28,4.0,6.5,5.2,52.4,0.0051518957551395
Trixter2,Kindred,202,9.2,4.8,8.0,64.5,Graves,105,9.1,5.0,8.5,60.9,Viego,240,5.7,4.5,7.2,38.9,0.0051420339551689
