nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
BLADE ENMA,EUW,Challenger,902,759,54.1,7.1,5.7,5.0,0.0068272889797504
SSUNSSUN,KR,Challenger,880,825,53.5,5.4,6.1,7.3,0.0067901862005506
AsIfItsYourLast,OCE,Challenger,897,770,55.2,7.1,5.3,6.8,0.006672123719212
Alex Blais,EUW,Challenger,942,592,55.1,5.4,3.8,6.8,0.0066568727603535
Nomanz,EUW,Challenger,873,856,55.5,6.3,4.6,6.2,0.0064901348622637
cikcik,KR,Challenger,864,888,53.3,4.8,4.9,6.1,0.0064408858678274
TF Honest,EUW,Challenger,855,912,53.5,6.3,5.2,6.6,0.0063396076385822
Adarladorri,EUW,Challenger,870,865,55.7,5.9,3.3,5.4,0.0063368158451721
Indexy,KR,Challenger,925,642,52.8,6.3,4.2,5.9,0.0063092772924294
이잉하지마세요,KR,Challenger,913,703,54.7,6.3,4.9,7.5,0.0063043356333455
belt ginger army,EUW,Challenger,849,938,59.8,7.4,4.3,6.3,0.006285273949477
otamegane,PH,Challenger,1010,417,61.7,8.1,4.9,5.7,0.0062704031292876
NapoIeon Hill,EUW,Challenger,878,836,53.0,5.0,4.9,6.2,0.0062682565095773
clover7,EUW,Challenger,850,933,57.0,6.7,4.7,6.5,0.0062621225799093
Sebekx,EUW,Challenger,1134,209,56.2,5.0,3.4,6.8,0.0062210321969897
hysteria x0,TR,Challenger,1055,317,56.8,8.7,4.4,5.8,0.006155686200079
ZaltHate,EUW,Challenger,996,471,54.1,6.2,6.3,6.3,0.0061407281603486
Tutsz,BR,Challenger,1339,61,54.6,6.7,4.5,6.9,0.0061167652813027
BilIy Butcher1,EUW,Challenger,844,958,53.3,7.4,6.4,6.2,0.0060592992402982
Wirko,LAN,Challenger,835,990,58.8,6.1,5.1,6.4,0.00602477097331
nigs lungz,PH,Challenger,853,928,55.3,8.2,4.5,5.4,0.0059919708515108
l º w º I,EUW,Challenger,827,1012,54.7,5.5,5.4,7.4,0.0059739787899566
Nem9,EUW,Challenger,812,1068,55.0,4.8,4.4,5.5,0.0059291693720746
TINIDOR KUTSARA,PH,Challenger,820,1037,55.8,7.4,4.9,7.4,0.0058830427068523
Washin,BR,Challenger,925,649,62.4,6.8,4.1,7.2,0.005837109113639
Τoffe,EUW,Challenger,885,810,54.9,5.8,4.8,5.7,0.0057845991768768
FA Ramune,JP,Challenger,812,1067,53.3,5.0,4.9,7.9,0.0057842165309025
lolfalcon02,LAS,Challenger,1243,110,58.0,10.6,6.3,5.7,0.0057713852702909
Spyware,EUNE,Challenger,808,1086,57.2,4.1,4.2,8.6,0.0057438718113267
Ilyich Ulianov1,BR,GrandMaster,769,2884,66.4,8.7,3.4,4.8,0.0057144970415394
Grevzin,BR,GrandMaster,805,2795,51.8,5.6,4.4,6.4,0.0057112378718977
DlPLEX,EUW,Challenger,1506,19,54.1,5.3,4.8,5.6,0.0056937261989304
nursena yener1,BR,Challenger,1154,181,57.5,7.5,4.6,6.3,0.0056934896153698
WD NOMA,EUW,Challenger,883,816,53.5,5.3,3.9,7.6,0.0056686682979811
VNR LUKA,EUW,Challenger,845,952,55.6,5.6,5.0,7.5,0.0056116546024683
Copý,EUW,Challenger,1449,28,58.3,5.7,4.4,7.1,0.0055713876939088
Hauz,BR,Challenger,939,603,56.0,6.9,6.0,7.1,0.0055499436825256
Egzod,LAN,Challenger,762,1249,52.5,7.5,6.3,7.2,0.0054551003642922
6두콩,KR,Challenger,779,1186,53.3,4.8,4.5,6.1,0.005443398580345
MS IRREGULAR,EUW,GrandMaster,850,2695,53.4,6.9,5.6,6.2,0.0054413174552381
Mát,LAS,Challenger,779,1187,64.4,4.1,3.8,8.2,0.005438086702731
제리ll,KR,Challenger,811,1070,52.7,5.2,4.7,6.4,0.0054277410491088
cứu Diễm My đi,VN,Challenger,503,2585,57.3,7.1,6.5,6.1,0.0054167487979157
LowKeySavagé,EUW,Challenger,777,1194,55.5,5.7,4.3,7.3,0.0054070214868733
