,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,FNC Hylissang,TL Honda CoreJJ,Vulcan 01,역천괴,school phobia,mersa777,Targamas,KC Leona,Zaunite Mylo
47,Riiquee,BR,Challenger,946,578,56.4,3.0,4.8,13.5,0.0064794676700277,0.0021998521580365,0.0008208733804029,0.000387110924294,0.0001452070793828,0.0005494220615862,0.0002305317996252,0.0018103333994738,0.0002861232795045,5.0013587721557176e-05
48,paiN Damage1,BR,Challenger,1084,277,58.5,2.9,5.5,13.8,0.0063742607850949,0.0014749095769165,0.0014662338935796,0.0004516192176142,0.0001423384775652,0.000797895716503,0.0002426305468639,0.0014532286991369,0.0002955341721248,4.98704847904204e-05
49,Lekcyc,EUW,Challenger,1202,143,62.9,2.0,4.1,13.9,0.0062351881114464,0.001624782920646,0.0010487814052819,0.0003906267900418,0.0001392439053054,0.0006799517701139,0.0002434012191258,0.0017848041563102,0.0002744291410191,4.916680360190889e-05
50,M1nit,EUW,Challenger,1459,24,56.0,2.7,4.5,12.4,0.0061561717624542,0.0016324772021659,0.0008393077586541,0.0003694716515622,0.0001337602936483,0.0006960202457545,0.0002198064253942,0.0019562611915421,0.0002599677622606,4.9099231471962846e-05
51,Jan D Banan,EUW,Challenger,1034,355,59.1,2.3,4.9,13.6,0.0061204644173089,0.0006653246658647,0.0018043433607358,0.0005040785741744,0.0001435806967183,0.0017168361244581,0.0002345791142135,0.0006607016038588,0.0003412150553849,4.980522190001941e-05
52,Messages Sup Acc,EUW,Challenger,997,466,60.1,2.6,6.6,13.9,0.0061155945360181,0.0012993695336107,0.0016015017229605,0.0004351324670559,0.0001465580889371,0.0007856263645709,0.000248340453376,0.0012348635791684,0.0003145432226943,4.965910364399176e-05
53,ACKÈRMAN,EUW,Challenger,1470,23,57.3,3.3,4.7,12.5,0.0060375938691575,0.0015415359324269,0.0009456688505929,0.0003838535994544,0.0001356099633713,0.0007184004920607,0.000232456414253,0.0017664001050955,0.00026454325308,4.912525882249421e-05
54,P1ng,EUW,Challenger,919,671,52.0,1.5,3.8,12.4,0.0059110089857956,0.0020181236073745,0.0007083485778643,0.0003589280460639,0.000145311626503,0.0005184351543718,0.0002217898907506,0.001603785749706,0.0002864245300605,4.986180310062224e-05
55,KT Way,KR,Challenger,1243,108,58.5,2.6,4.4,13.2,0.0058925233917729,0.0007878295314037,0.0014428335530367,0.0004485504673156,0.0001368972615221,0.0016957228805302,0.0002227594861019,0.0008082867477686,0.0003002684219407,4.93750421530222e-05
56,FX Jojinho,BR,Challenger,1026,372,61.0,3.1,3.9,15.3,0.0058908098903713,0.0013100110047387,0.0013026703525362,0.0004498077857443,0.0001422046260509,0.0008013348984419,0.0002287976087509,0.0013060713269895,0.0002998674545379,5.004483258071879e-05
57,Benvi,OCE,Challenger,908,732,54.5,3.3,5.7,11.9,0.0058798200201164,0.001883581778428,0.0007994711670823,0.0003757009717998,0.0001480486049406,0.000532665827123,0.0002334082712315,0.0015626213966882,0.0002944271650605,4.989483776214274e-05
58,RISE Wosz,BR,Challenger,942,594,54.8,2.6,4.6,12.5,0.005871659375852,0.0015282185446745,0.0010979006246259,0.0004109570930836,0.000145463683288,0.000706707152948,0.000226197660073,0.0013964571543988,0.000309906636479,4.985082628096784e-05
59,BOC tufi,BR,Challenger,911,723,54.0,3.6,6.3,13.1,0.0058319711295201,0.0016111761624869,0.0010351654226595,0.0004065547354818,0.0001484085490812,0.0006508961908874,0.0002302984489815,0.0013833791862274,0.0003161297322041,4.996270150990117e-05
60,QQ LOVE,KR,Challenger,902,748,54.8,2.4,4.4,11.9,0.0058255606644739,0.0018570210883558,0.0008128693647329,0.0003852155721897,0.000146903850877,0.0005751159427934,0.0002220967097837,0.0014738523367518,0.000302388316978,5.009748201134179e-05
61,Shoiti,BR,Challenger,994,475,55.6,3.2,5.3,13.0,0.0057751421774736,0.0005951224669867,0.001762585196951,0.0005169041926235,0.0001479652205023,0.001497517705136,0.0002485870602292,0.0005869117714484,0.0003697413402345,4.9807223361569006e-05
62,RNG Ming 9,BR,Challenger,911,724,51.5,3.3,5.6,12.4,0.0057661450937732,0.0015972133929726,0.0010231879143067,0.0004113515030527,0.000149547474462,0.000620746173133,0.0002380207053611,0.0013617620670367,0.0003142805995169,5.003526393134578e-05
63,scuro,BR,Challenger,1252,99,54.3,5.9,5.3,10.4,0.0057528478717873,0.001177123949999,0.0013851973329084,0.0004339963091236,0.0001405237453886,0.0007985507260911,0.0002562386660217,0.0012265613326627,0.0002852290076621,4.942680192967659e-05
64,sup momochi,BR,Challenger,916,685,57.1,3.4,5.2,14.5,0.0057519650465746,0.0010564956144795,0.001654500168098,0.0004672375563244,0.0001509799788586,0.0008067736047359,0.0002444437366126,0.0009773471125243,0.0003440287326268,5.015854231402021e-05
65,Rascal,KR,Challenger,880,828,54.9,3.8,6.2,10.6,0.0057114604763955,0.0017726639275644,0.0008337976842888,0.00038800650523,0.0001492421748456,0.0005633708235169,0.0002259991357845,0.0014201811167541,0.0003080519999954,5.01471084153944e-05
66,Cosboat,EUW,Challenger,1010,416,58.2,2.2,4.5,12.5,0.0056625142557829,0.0010187963206676,0.0016551948922074,0.00047042450271,0.0001487723957172,0.0007488828223148,0.0002738761539442,0.0009784150259516,0.0003182571813153,4.989496095440165e-05
67,ttv donbraylol,EUW,Challenger,1114,242,62.1,3.1,5.3,13.6,0.0056573207238123,0.0012236033048131,0.001304802659976,0.0004592686506193,0.0001433819306367,0.0007145506718136,0.0002574396555238,0.0012128251514036,0.0002914895915583,4.995910746746574e-05
68,Advienne,EUW,Challenger,885,808,54.0,3.1,4.9,11.8,0.0056061453496663,0.0017722164813993,0.0007930386889487,0.0003809535446101,0.0001497821335034,0.0005387253711494,0.0002292162395387,0.0013871025197885,0.0003049870600062,5.012331072160469e-05
69,PinkMin v2,EUW,Challenger,910,728,55.3,2.1,4.9,13.6,0.0055599484846136,0.0010253667566334,0.0015840144170926,0.0004576967641956,0.0001541309840453,0.000740537121544,0.0002621676466647,0.0009351277490163,0.0003508779414292,5.00291039921385e-05
70,Donna Hamilton,EUW,Challenger,906,736,55.1,4.0,5.2,9.0,0.00551535910016,0.0014353004147031,0.0010549175796676,0.0004223341120542,0.0001522346799815,0.0006073848630489,0.0002522216485986,0.0012195850367779,0.0003212475495469,5.013321578075904e-05
71,Dam ADC,EUW,Challenger,919,673,54.4,3.5,5.7,11.9,0.0054804470130609,0.0009172181726871,0.001644730112644,0.0004673946804361,0.0001543264931728,0.000772368044621,0.0002705025042141,0.000847673624921,0.0003562457307959,4.998764956854263e-05
72,Cl0x2227,EUW,Challenger,878,833,56.6,2.4,4.6,13.2,0.00547903502438,0.0015986080962573,0.0008630173335496,0.0003968363086173,0.0001502994994917,0.000570581071551,0.000228935764545,0.0013070998984893,0.0003134305662359,5.022648564248186e-05
73,사람 안 믿어,KR,Challenger,1010,413,55.5,2.8,5.5,10.8,0.00540001096101,0.0008850601844778,0.0016285046517965,0.0004564973952271,0.0001497019336821,0.0007679211821235,0.0002859772738812,0.0008511811440842,0.0003255803800323,4.958681570477613e-05
74,SnowFlow2r,KR,Challenger,1398,43,58.7,4.0,5.8,12.1,0.0053879214044104,0.0010714688514517,0.0010755979074092,0.0003990488717661,0.0001342977079058,0.0010158940477322,0.0002173055954319,0.001148313805561,0.0002768845434225,4.91100737294445e-05
75,LOUD Ceos,BR,Challenger,1509,17,57.4,3.5,5.3,12.6,0.0053595519038124,0.0010349783822545,0.001098149204233,0.0004021650824313,0.0001344254883761,0.0010026424928992,0.0002215224499783,0.0011421397208624,0.000274401599229,4.912748354816071e-05
76,TSM Chime,EUW,Challenger,874,852,52.1,2.7,4.9,12.0,0.0053473201913193,0.0012602020917799,0.0011215179511368,0.0004352661952135,0.0001531151563824,0.000653472491754,0.0002398234993239,0.0010953928951896,0.0003382055863442,5.032432419459499e-05
77,coldxn,EUW,Challenger,920,664,52.5,4.3,5.5,11.3,0.0052728019779708,0.0015934029357784,0.0007284539139785,0.0003713297899748,0.0001453498595003,0.0005406721211863,0.0002226106922917,0.0013292594853157,0.0002917311418796,4.99920380652291e-05
78,kylie jenner,TR,Challenger,875,850,60.6,1.8,4.8,17.0,0.005268320104286,0.0016174137811948,0.0007145713810717,0.0003727182879026,0.0001484973017242,0.0005014416164983,0.0002233923371082,0.0013469581035862,0.0002930614191264,5.0265876073282414e-05
79,05222001,EUW,Challenger,900,759,51.7,4.0,6.0,12.0,0.0052661355242055,0.0013519144862987,0.0009784634961977,0.0004220395061008,0.0001533519298299,0.0005750824916811,0.0002583996955215,0.0011578520728306,0.0003187884945013,5.024335124357007e-05
80,Hantera,EUW,Challenger,905,746,54.6,2.5,5.0,12.4,0.0052488831617528,0.0009703391015685,0.0014041498718262,0.0004668634686618,0.0001560006415629,0.0006932479158541,0.0002725174378466,0.0008826296861459,0.0003529295004574,5.0205537829049496e-05
