nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
winter,Nautilus,194,1.7,5.6,13.5,60.0,Karma,54,2.2,3.8,14.1,61.5,Lulu,323,1.7,4.0,15.0,59.1,0.0047667348512862
4321455213123,Lux,6,3.5,5.3,14.8,54.8,Rakan,765,1.8,3.6,18.0,69.0,Nautilus,353,2.0,4.8,15.4,72.0,0.0047291360452106
FA Zodiac,Ashe,10,2.2,5.8,11.3,53.3,Nami,208,1.7,5.7,17.1,58.1,Karma,396,2.6,6.8,14.6,50.0,0.0047286128307244
pienso,Soraka,50,1.1,4.5,14.7,61.3,Annie,31,2.7,6.7,14.5,66.7,Nami,80,2.0,4.8,16.7,56.5,0.0047199961772006
Airobloodin,Karma,778,2.0,3.9,12.9,52.3,Nautilus,126,2.0,5.7,11.5,58.6,Maokai,471,1.8,5.0,12.2,70.0,0.0047103818182859
Airobloodin,Karma,778,2.0,3.9,12.9,52.3,Nautilus,126,2.0,5.7,11.5,58.6,Maokai,471,1.8,5.0,12.2,70.0,0.0047084727747785
picapicaa,Ashe,158,1.8,4.4,12.7,52.4,Rakan,39,1.5,4.3,14.5,56.4,Karma,31,1.4,4.1,12.1,54.3,0.0046825776424173
Mixtsure,Karma,160,2.8,3.4,13.2,73.7,Leona,193,1.5,3.8,15.0,84.6,Rakan,45,1.5,2.9,14.4,61.5,0.0046559760311995
beansu,Ashe,332,2.5,4.6,12.8,51.3,Nautilus,488,1.2,4.0,10.3,62.1,Sett,439,2.4,5.2,13.2,64.0,0.0045999065540878
다이아몬드,Lulu,204,1.4,3.3,15.3,63.8,Alistar,4,1.7,4.7,13.3,56.8,Karma,22,1.9,5.5,15.0,53.5,0.004589831358753
Harunohi,Nautilus,24,1.9,4.8,12.8,64.7,Thresh,136,1.3,4.5,16.1,66.7,Alistar,351,1.4,5.0,13.2,50.0,0.0045342378781475
zlaksd,Karma,158,2.5,3.7,12.3,61.3,Rakan,22,1.1,4.3,12.3,51.9,Nautilus,1226,0.9,5.4,14.7,71.4,0.004514014063851
Path To LCS,Ashe,233,2.4,4.9,13.8,62.9,Rakan,9,1.8,3.1,14.2,64.9,Nautilus,64,1.1,4.1,11.1,50.0,0.0044949156400825
JKG Qu1z,Karma,227,2.7,4.8,12.5,60.0,Rakan,824,1.7,4.8,17.1,58.1,Nautilus,102,1.9,6.6,13.0,40.9,0.0044706134624043
100 Busio,Rakan,127,2.2,3.3,16.2,69.7,Twitch,72,10.2,6.5,9.0,52.2,Lux,816,5.2,4.2,11.7,66.7,0.0044485347331033
El Camino provee,Gragas,282,3.9,4.0,7.4,48.6,Nautilus,504,1.7,5.6,11.3,50.0,Rakan,1079,1.3,3.6,18.7,81.3,0.0044447997999347
Que bendición,Rakan,180,1.4,3.6,14.9,62.5,Thresh,10,1.3,4.1,15.0,62.8,Ashe,50,2.0,6.4,13.1,40.0,0.0044369524353512
kevinnguyensocal,Blitzcrank,201,1.9,4.9,13.0,52.7,Ashe,27,3.1,4.8,11.6,50.0,Maokai,242,2.2,4.9,11.5,65.5,0.0044296797596792
999 1v9 L9 69 v9,Annie,518,2.5,5.3,12.2,63.6,Karma,24,1.8,4.8,12.8,54.8,Lulu,316,1.9,5.1,13.2,60.0,0.0044267010184225
LooserQ Member,Karma,12,2.3,5.1,12.7,53.9,Thresh,4,2.0,5.7,14.5,58.6,Ashe,5,1.9,6.9,11.6,40.0,0.0043871542854095
nyshotytskazat,Lux,24,6.0,5.6,11.3,56.8,Nautilus,10,2.1,5.9,14.6,55.6,Bardo,5,3.5,5.3,16.5,71.4,0.0043531003477742
Nmcp,Pyke,55,6.4,6.2,11.4,65.4,Gwen,70,8.0,5.0,4.2,60.0,Lux,4,4.4,4.6,13.4,76.5,0.004317587518278
lisan hehe,Twitch,36,8.7,5.1,8.7,68.9,Qiyana,5,7.6,4.4,6.4,72.2,Lulu,31,1.9,2.5,10.3,63.6,0.0043081746686548
uZent,Bardo,117,2.0,3.9,15.1,63.3,Karma,52,1.7,3.7,13.4,40.0,Lux,1527,3.1,5.4,13.4,55.0,0.0042029038062144
Zyko,Karma,255,2.7,5.1,13.8,58.8,Nautilus,142,1.3,5.7,12.0,53.3,Pyke,240,7.0,5.3,9.9,61.5,0.004107850208084
СВЕКЛОВИЧНЫЙ ЖОМ,Thresh,14,2.1,3.8,14.9,62.5,Zed,719,8.2,5.1,6.2,52.6,Pyke,4,6.1,4.1,9.3,63.0,0.004101282004637
Amaboutakum,Ashe,371,3.4,5.2,12.1,60.5,Sylas,49,7.2,6.7,9.9,57.9,Rakan,152,1.5,4.8,17.3,54.8,0.0040846447224065
LANZIQUEEN,Lux,6,3.7,4.6,13.5,55.6,Karma,63,3.3,5.1,18.1,70.6,Janna,25,2.5,5.3,17.7,63.6,0.0040714784794475
KDF Andil,Blitzcrank,110,1.4,4.7,14.3,69.2,Ashe,94,2.4,5.0,13.7,55.6,Pyke,1110,3.7,5.4,9.8,70.0,0.0040708863590303
SHOP MRBEAST,Nautilus,265,2.1,6.1,13.0,58.3,Pyke,100,5.7,5.1,11.1,65.4,Rakan,158,1.3,5.6,14.3,39.1,0.0040634175108125
DongerValenz,Heimerdinger,69,3.4,5.5,9.9,55.8,Olaf,4,5.0,4.7,4.6,60.0,Blitzcrank,37,2.3,4.3,12.6,58.3,0.0040483265853984
sxtxt supp acc,Janna,44,0.8,4.4,15.1,62.7,Twitch,11,9.6,5.5,9.3,55.2,Lulu,39,1.0,4.2,16.3,58.1,0.0040106320081454
Swkeeee,Lulu,316,1.6,2.9,15.2,69.2,Nami,14,1.4,2.4,12.5,50.0,Seraphine,960,1.8,1.6,12.8,66.7,0.0040017315300468
Echte Liebe,Twitch,211,10.0,7.2,10.4,68.4,Rakan,41,2.3,4.3,17.0,71.4,Lux,211,5.6,4.1,12.6,63.6,0.0039986476340825
amphy,Thresh,235,1.8,4.9,13.7,73.3,Senna,618,4.1,4.4,11.9,71.4,Heimerdinger,294,4.0,4.0,8.4,83.3,0.0039985776775069
Locura y MaIdad,Rakan,61,1.2,3.9,15.1,59.3,Samira,205,9.3,4.7,6.8,70.0,Blitzcrank,11,1.3,5.1,13.8,57.7,0.0039982423156735
14675242,Karma,361,2.2,3.8,15.2,56.7,Nautilus,209,1.4,5.6,14.5,60.7,Ashe,177,3.1,4.5,12.9,60.9,0.003964614572961
DDDORIAN,Rakan,101,1.7,2.6,12.5,58.8,Nautilus,32,1.3,4.1,11.8,50.0,Pyke,89,4.8,5.0,7.7,54.3,0.0039484409153743
Noa love Brazil,Alistar,111,1.8,4.0,13.5,57.1,Annie,1156,3.7,4.4,14.8,75.7,Karma,5,3.2,3.9,10.8,51.5,0.0039460533229433
Hi Hyung,Karma,18,2.2,4.3,12.6,49.1,Nami,4,1.8,5.0,15.0,50.0,Ashe,7,2.2,4.6,13.9,63.4,0.0039081787339532
dfm1,Nautilus,170,1.9,6.0,15.0,52.6,Ashe,308,2.8,4.6,12.7,68.0,Annie,530,1.9,5.0,11.9,58.8,0.0038823357109287
love engage,Nautilus,27,1.5,5.1,14.5,63.2,Rakan,2,1.5,4.0,14.3,60.9,Alistar,5,1.5,4.4,14.2,59.5,0.0038667114223895
Nebulim,Thresh,27,1.8,4.9,17.2,66.7,Pyke,24,5.0,5.4,9.3,66.7,Lux,40,3.1,4.7,11.8,60.0,0.0038132202750996
Bengali Tiger,Ashe,22,2.8,4.1,12.7,50.0,Thresh,39,1.8,3.0,13.1,52.4,Heimerdinger,625,2.4,4.7,8.5,31.6,0.003782245837524
1MightyTeke3,Ashe,60,2.6,5.2,13.1,68.9,Pyke,1,4.2,5.0,6.8,35.7,Karma,103,2.5,6.6,12.6,30.8,0.0037806403456105
Z Score,Thresh,249,1.9,4.8,14.9,67.2,Zyra,589,3.8,5.1,11.0,55.8,Bardo,4,2.4,4.0,12.8,53.8,0.003779221241803
미니웅즈,Ashe,283,2.3,5.9,11.8,50.0,Thresh,137,1.5,5.8,14.6,57.3,Karma,26,1.9,6.0,11.3,49.3,0.0037752033090453
칸쵸빌런,Annie,186,2.9,5.9,12.0,63.3,Rakan,16,1.4,4.4,13.1,53.1,Heimerdinger,100,3.9,7.2,8.0,46.9,0.0037715494436016
MarceSato,Seraphine,19,2.5,4.6,13.1,54.8,Janna,1250,0.7,3.6,14.7,62.9,Nami,9,1.3,4.1,15.3,58.3,0.0037638150696838
Manycpyfjtjkyxf,Ashe,241,2.8,4.7,12.7,60.4,Karma,22,2.5,4.2,13.0,51.5,Miss Fortune,651,3.1,4.5,9.6,42.3,0.0037429797850813
Amor eres tu,Lux,75,5.0,4.9,13.8,64.3,Karma,66,2.6,3.8,12.0,63.6,Nautilus,4,2.7,5.7,11.7,33.3,0.0036962918215684
DK Bible,Karma,170,1.9,4.8,12.0,53.8,Nautilus,1286,1.2,5.3,13.8,71.4,Ashe,463,2.0,5.0,13.1,76.2,0.0036942554759192
Adela Andromeda,Karma,141,1.6,3.7,12.6,62.5,Morgana,926,2.9,5.1,13.8,41.2,Senna,347,5.2,4.7,11.9,60.0,0.0036932330330533
vvxinRio887288,Maokai,57,3.3,2.3,11.3,80.0,Nami,17,1.0,3.2,14.5,53.8,Nautilus,171,1.1,4.0,11.8,58.3,0.0036743019386404
Chcknz,Pyke,50,5.5,5.2,9.3,59.5,Zeri,2,5.9,6.0,5.7,50.0,Sivir,57,5.1,4.7,7.0,64.3,0.0036613634115077
Gen G Namgung,Ashe,290,2.4,3.6,12.7,67.3,Karma,3,1.8,3.8,11.2,51.1,Nami,176,1.9,3.8,15.1,46.7,0.003631034903401
Cato Mart,Karma,156,2.2,5.5,13.5,52.4,Annie,478,3.3,5.7,13.7,68.9,Nami,16,1.9,5.6,16.7,50.0,0.0036070338171779
Kasing 1,Ashe,304,3.1,5.7,14.8,61.5,Rakan,750,2.1,5.2,19.6,80.0,Nautilus,594,2.7,4.3,12.3,60.0,0.0035945671268711
수요일은다먹는날,Ashe,254,2.5,7.0,12.4,52.5,Annie,101,2.5,5.7,11.4,61.8,Karma,25,2.2,6.2,13.0,56.8,0.0035549408914182
Talentoso,Ashe,215,2.6,4.4,11.9,53.8,Nautilus,30,1.9,4.4,13.7,54.3,Annie,23,2.3,3.6,13.6,53.6,0.0035537376987865
Talentoso,Ashe,270,2.6,4.4,11.9,53.8,Nautilus,30,1.9,4.4,13.7,54.3,Annie,23,2.3,3.6,13.6,53.6,0.0035537376987865
UNSECRET,Zeri,19,8.1,4.2,7.7,54.0,Ashe,198,2.6,5.5,14.2,71.9,Renata Glasc,2,1.5,5.0,14.6,63.2,0.0035530753396529
