nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Thiensf,OCE,Challenger,1226,120,53.6,5.6,4.6,5.8,0.00191809143569
Urmonardrene,EUW,Challenger,820,1041,63.3,4.6,4.8,5.7,0.0019135035661979
Vertigo0,EUW,Challenger,958,552,53.5,5.6,3.9,5.3,0.0019083031862999
Ushuala,EUW,Challenger,883,815,54.5,3.8,4.4,7.5,0.0019049254193437
Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0019033677710619
Gen G Zest,KR,Challenger,1021,382,54.2,4.9,4.4,5.3,0.0019033640755663
톱 왕,EUW,Challenger,862,896,56.2,6.6,5.2,5.4,0.001901109663795
IHG PolskiKoz,EUW,Challenger,963,544,54.6,5.4,4.5,4.8,0.0018967529187771
Daemon V,BR,GrandMaster,575,4210,52.2,5.7,4.4,5.3,0.0018955823659405
Dia Kektz,EUW,GrandMaster,621,3721,55.1,4.5,3.8,5.5,0.0018954841593786
玳打微ysrw77,JP,Challenger,1039,352,56.2,6.2,5.3,5.2,0.0018876674209053
Jauny,LAN,Challenger,1562,16,61.7,8.0,4.4,5.6,0.0018863424622335
Lîcht Rêgên,EUW,GrandMaster,601,3945,54.2,5.4,4.2,4.9,0.001884876414034
DeepVibes,LAS,Challenger,963,542,52.3,4.8,4.5,6.4,0.0018789153287984
Meteor is coming,KR,Challenger,946,574,55.1,4.1,4.0,4.5,0.0018775187106247
Ënder,LAN,Challenger,1144,195,58.9,6.8,3.4,4.4,0.001872481903578
reverse,BR,Challenger,927,639,55.3,5.9,4.8,5.1,0.0018635188056318
Sufukato,LAS,Challenger,944,586,57.8,6.6,3.4,6.1,0.0018600075664314
Yung Fappy,EUW,Challenger,1057,312,53.3,4.2,4.3,4.3,0.0018561322683983
Plan Chrysalide,EUW,Challenger,824,1024,54.5,6.5,7.3,5.2,0.0018513508433912
Krøllen,EUW,GrandMaster,773,2874,67.1,7.8,6.1,5.1,0.0018506841697688
빈 스토리,KR,GrandMaster,606,3874,58.3,5.3,4.3,4.5,0.0018483264720839
LordBastionIII,EUW,Challenger,854,920,54.9,1.7,5.2,15.2,0.0018451062031597
2035 TCL Champ,EUW,Challenger,902,752,58.3,7.0,4.9,4.7,0.0018314752471569
SatØrius,EUW,Challenger,862,896,54.0,3.5,4.4,6.9,0.001826923105401
BOLADO DMS,BR,Challenger,976,504,52.6,4.2,5.4,6.6,0.0018265557613063
faker god top,EUW,Challenger,822,1029,53.8,4.8,3.2,5.6,0.0018257352263517
Keñus,LAS,Challenger,966,534,52.0,5.5,4.2,5.3,0.0018253730168301
Challenq,LAN,Challenger,968,532,60.9,8.3,4.3,4.9,0.0018253264226691
AYELGODLIKEMODE,BR,Challenger,1677,7,54.1,6.1,6.0,6.9,0.0018246996299145
100 Sn1per,EUW,GrandMaster,606,3872,51.9,5.2,4.8,4.7,0.0018201475826459
MYSLYRS,TR,Challenger,1000,457,56.7,6.7,5.0,5.0,0.0018177697763174
GazpachitoAbuser,EUW,GrandMaster,657,3444,55.1,4.5,3.8,5.8,0.0018046546091977
reptilezero,EUW,Challenger,841,965,53.9,4.6,4.8,4.5,0.0018034062243256
0503x,BR,GrandMaster,770,2884,55.1,6.9,4.8,6.1,0.0018018161597453
FLYQ IMPACT,EUW,GrandMaster,727,3044,56.3,5.2,4.8,5.8,0.0018015535872497
Trà Đào OwO,VN,Challenger,815,1053,56.9,6.0,5.3,4.7,0.0017992283773565
FA ady,KR,Challenger,1113,241,52.9,4.4,5.8,8.9,0.0017929189741268
ZyWolfx,LAN,Challenger,906,741,59.3,8.6,4.8,6.0,0.0017908880243528
Geobsell,EUNE,Challenger,788,1158,53.1,5.5,4.8,5.5,0.0017852765775096
Coatpustmain,EUW,Challenger,906,739,55.5,2.9,3.9,7.4,0.0017833618548415
Tronnie Sins,OCE,Challenger,920,666,55.0,4.7,3.9,5.2,0.0017788596979382
WAO RANK 1,EUW,Challenger,1016,389,53.2,5.7,5.3,6.0,0.0017777265584765
GSDFQWASD,EUW,GrandMaster,601,3942,54.4,5.2,4.5,4.7,0.001777613411803
Melvox,LAN,Challenger,923,660,60.6,7.2,3.8,5.6,0.001774645972568
ROBOCA DE SACOLA,BR,Challenger,915,694,54.5,6.9,6.0,5.8,0.001773411425981
DENADENADENA,EUW,Challenger,781,1183,55.8,5.7,5.2,4.6,0.0017725828766404
윤용호,KR,Challenger,724,1420,59.3,4.5,5.1,5.9,0.0017718513381135
DRXVIICHAN,KR,GrandMaster,619,3730,52.4,5.1,4.8,5.3,0.0017650255160127
Adelean,EUNE,Challenger,924,658,56.4,6.5,5.5,5.1,0.0017613604756198
내이리 오면,KR,Challenger,731,1386,54.0,4.1,5.2,5.2,0.001760599006445
droqan,TR,Challenger,503,2581,59.0,7.0,5.5,6.0,0.001755798054133
愛麗絲丶,JP,Challenger,871,860,59.3,5.9,4.4,4.8,0.0017476452850499
킬러톱,KR,Challenger,871,859,54.3,4.5,4.1,5.2,0.0017466751951916
Augustine,EUW,Challenger,825,1018,51.7,4.4,4.0,6.0,0.0017401453892904
Bruce Wäyne,EUW,GrandMaster,625,3689,52.6,6.2,6.4,5.2,0.0017401077013215
Livatious,EUW,Challenger,769,1226,59.1,5.2,5.5,5.7,0.0017364314401779
cadianNN,KR,Challenger,631,1849,58.0,5.7,5.0,4.4,0.0017355304857464
Diëgo,LAS,Challenger,864,889,52.1,4.2,3.6,6.0,0.0017285205106467
Reversed,BR,GrandMaster,763,2907,54.4,5.2,4.8,6.0,0.0017282317619665
RobertBrännström,EUW,GrandMaster,741,2970,54.8,5.8,5.3,4.8,0.0017250781497664
TTV IMainTopLane,EUW,Challenger,753,1304,53.6,3.5,3.6,8.0,0.0017233259090728
Eddxylol,LAN,GrandMaster,553,4429,51.5,6.0,5.5,7.5,0.0017227405023215
jotaemez 11z,BR,Challenger,911,718,51.3,5.3,5.5,4.6,0.0017210692083316
Estrus,OCE,Challenger,870,866,50.6,6.8,7.4,6.3,0.0017200947940317
안녕안녕하세요오,KR,Challenger,836,996,55.4,5.5,5.4,4.2,0.001716418455505
Sc4rfac3,EUW,GrandMaster,702,3170,54.3,4.0,4.3,5.0,0.0017164184534528
Kartoni Storaro,EUNE,Challenger,723,1423,59.9,7.3,5.4,6.4,0.0017081779636725
WPE Austèrity,PH,Challenger,866,883,57.4,9.6,6.1,6.3,0.0017080706610551
ΑrchΦiend,EUW,GrandMaster,711,3112,60.0,6.2,6.0,5.6,0.0017074910463338
Nillee,EUW,GrandMaster,857,2684,52.9,4.9,5.1,4.7,0.0017060766488351
Dìesel,EUW,Challenger,769,1225,55.8,3.4,4.4,5.9,0.0017033929827357
AlphaGo test 06,KR,Challenger,879,829,56.9,4.9,4.9,4.5,0.0017004786396543
SOLOBOLO123,BR,GrandMaster,682,3293,54.0,4.5,5.3,5.3,0.0016956074900008
Ssumdayday,EUW,GrandMaster,781,2852,54.5,4.6,3.8,4.9,0.0016941489195741
qwazss,KR,Challenger,830,1006,57.5,4.0,3.7,4.8,0.0016934666567897
łeozd,LAS,Challenger,890,795,51.6,5.7,4.7,5.7,0.0016880364740113
vxRio887288,OCE,Challenger,813,1061,54.0,4.8,5.1,3.9,0.0016874597983512
GPGustavo,BR,GrandMaster,667,3373,51.8,6.1,6.5,5.5,0.0016849388771408
ViV Twelve,EUW,Challenger,860,900,55.9,5.2,5.4,5.7,0.0016832847439802
Gruiku,EUW,GrandMaster,588,4076,52.1,5.4,6.9,5.8,0.0016828905430066
Son of Barbaroon,RU,Challenger,861,899,62.4,5.2,4.4,9.1,0.0016819009436238
no limits1,EUW,GrandMaster,827,2743,52.9,3.8,4.0,6.0,0.0016817869737073
